timestamp,isSummer,isWeekend,isHoliday,universe_id,ccu_playing,platform_platform_share,ratings_like_ratio,visits_visits_gained,session_session_length,daily_rpv,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2024-07-11 00:00:00+00:00,1,0,0,3317771874,106649,4.426052570343018,96.50885009765624,3277980,52.72960917154948,0.0208001753569483,25374987.0,0.0,26721701.0,110396.0,3469842.0,96.51138305664062,4.703783988952637,52.277028719584145,21023489.0,86861.0,2656271.0,96.53260040283205,3.98363733291626,53.83093245824178,27922624.0,120267.85714285714,3727125.8571428573,96.51853397914341,4.870368821280343,51.975591432480584,22913120.466666665,97897.43333333333,3174902.2333333334,96.5550422668457,4.392506837844849,50.89826633797751,20.698267542556813,-5.03977647231364,22.78122517585568,-3.3941447153882365,23.405330254330224,-5.529416036810897,11.105811108133246,-5.904425442620287,-0.024603403489287246,-0.00262451837718114,0.16073793498863329,0.2598335874952365,237.9276793248945,7.741041513053309,0.032534965882962716,2.0780151372504876e-06,-0.003389903477257777,-0.00323285536718379,0.9996218914430031,1.2186303493939645,1.1087902651211248,4198243.617421058,5953598.291564527,20519.31133465274,27842.80883036635,679855.1032140722,906663.957603112,7,0.3126736047917467
2024-07-12 00:00:00+00:00,1,0,0,3317771874,108196,1.4951341152191162,96.50811767578124,3258847,52.13792403539022,0.0203941255851506,24946667.0,0.0,25374987.0,106649.0,3277980.0,96.50885009765624,4.426052570343018,52.72960917154948,20831461.0,91962.0,2771775.0,96.52894592285156,3.735298633575439,51.61453946431478,28510510.57142857,122587.0,3796707.5714285714,96.51555851527623,4.550345318658011,52.05036065691993,23164330.666666668,99090.66666666667,3209483.066666667,96.55188624064128,4.303332527478536,50.84995274676217,19.754764200168196,-1.6879614559014322,17.65294360714209,1.4505527477988611,17.57256631580846,-0.583682633817173,-59.97283585896399,-66.21969370094392,-0.02157720347114589,-0.0007589167980492917,0.1559787036077353,0.2534862484297082,230.56708596356646,7.6550569403666575,0.03320068932334371,2.0899754642740353e-06,-0.0030185154506127713,-0.003206241594935255,0.9996237491904144,1.230793627568744,1.0574003495203306,4099015.9030692186,5871839.278078575,20298.866132060415,27477.02131039522,672065.6670211675,888648.5977062276,7,0.30739579486008445
2024-07-13 00:00:00+00:00,1,1,0,3317771874,151243,2.1457395553588867,96.5033950805664,4505722,49.02030682563782,0.0250991739081739,30793059.0,0.0,24946667.0,108196.0,3258847.0,96.50811767578124,1.4951341152191162,52.13792403539022,28216202.0,154350.0,4571430.0,96.52598571777344,6.222805023193359,46.72989654541016,28878633.0,122143.14285714286,3787320.714285714,96.5123312813895,3.967907394681658,52.37756212552388,23641696.066666666,101831.43333333333,3290042.8,96.54864222208658,4.243737212816874,50.68254571888182,9.132543777507696,23.435563556446247,-2.0129575639779684,39.786128877222815,-1.4373620508243645,38.261231656472376,-65.51812972829161,43.514854855975415,-0.023403684550893367,-0.004893469408129292,0.15993607531893186,0.2491832307923457,203.59854936394171,6.8342104030807045,0.03356686596135626,1.5919271038876233e-06,-0.0028321402413500015,-0.0031823333298954815,0.9996239103952022,1.2215127425107664,0.9350030870662399,4225725.207211005,5891114.207302691,22082.40535900962,28457.397755462534,657881.9116167907,893097.9336572576,7,0.3794357317343626
2024-07-14 00:00:00+00:00,1,1,0,3317771874,128856,1.832491755485535,96.49864196777344,4321303,51.37159983317057,0.0266069919108007,32769368.0,0.0,30793059.0,151243.0,4505722.0,96.5033950805664,2.1457395553588867,49.02030682563782,34900362.0,137410.0,4525855.0,96.52090454101562,5.931056499481201,52.48860216140747,28574205.285714287,120921.14285714286,3758099.0,96.50915091378349,3.38239814553942,52.21799036434719,24195611.633333333,103765.4,3365021.1666666665,96.54529978434245,4.184144508838654,50.61634618308809,-6.105936666215673,6.418034012145402,-6.2251655629139035,-14.802007365630143,-4.519632202092206,-4.092995528796495,-69.10345137251979,-14.598593715207874,-0.023065027568947016,-0.004925332201011212,0.16906937930274635,0.24564775680473502,254.3080158625453,7.583212845011598,0.029818776924743086,1.5676713162578923e-06,-0.0030741010393457264,-0.0031582061122593075,0.9996255760700965,1.1809664379944311,0.8083846383399015,4512374.373026738,5943597.722246884,22458.92350822736,28249.105336580174,672488.7679754507,881655.8362262495,7,0.4037880460513068
2024-07-15 00:00:00+00:00,1,0,0,3317771874,119695,1.7042473554611206,96.49632263183594,3647791,54.34617074330648,0.0236412328765823,29209127.0,0.0,32769368.0,128856.0,4321303.0,96.49864196777344,1.832491755485535,51.37159983317057,31099615.0,124231.0,3921139.0,96.5181884765625,4.693820476531982,53.94965521494547,28304135.57142857,120273.14285714286,3719049.285714286,96.50602722167969,2.9553162711007253,52.27463543982732,24490354.833333332,104735.4,3376733.2666666666,96.54206873575846,4.106709583600362,50.91650314728419,-6.078814802048194,-10.86453971281961,-3.6512625673141175,-7.1094865586391,-6.971137722993237,-15.585854544335353,-63.691680072087046,-6.99836163739983,-0.022654636469754408,-0.0024034907540659844,0.167075473920046,0.2436217191700439,244.02759490709798,8.007344442884902,0.03281300030264884,1.860588605839465e-06,-0.003157479422436221,-0.0031434683964178542,0.9996266755565657,1.1557258261078511,0.7196311818353107,4514648.27296473,5966382.347581061,22040.01209202343,28280.86494385162,671940.3039952448,883045.9032575849,7,0.3599183334324442
2024-07-16 00:00:00+00:00,1,0,0,3317771874,110864,1.6084140539169312,96.4954605102539,3336112,55.030090967814125,0.0218400243001705,27060324.0,0.0,29209127.0,119695.0,3647791.0,96.49632263183594,1.7042473554611206,54.34617074330648,28314040.0,116877.0,3551860.0,96.5154800415039,4.379764556884766,54.03980875015259,28125033.285714287,119414.14285714286,3688228.1428571427,96.50316728864398,2.559409056391035,52.41610432806469,24760186.533333335,106060.7,3391304.433333333,96.53898900349935,4.043443683783213,51.24682165914111,-4.427895136123283,-7.356614937515937,-5.144724796153222,-7.377918877146083,-6.074225898543295,-8.544321755275996,-63.27624389332558,-5.623203770104112,-0.020742300863441088,-0.0008934242865632491,0.15790244079283924,0.23790056671152518,244.0835610878095,8.111333159278479,0.03323148826193837,2.033607910023776e-06,-0.0029392242431534525,-0.0031284166787962017,0.999628940439245,1.1358974718486485,0.632977545020819,4318854.691373061,5890462.408163074,20973.761387679315,27573.272708773184,661080.9516828835,878485.4015344586,7,0.33344052755229464
2024-07-17 00:00:00+00:00,1,0,0,3317771874,101021,1.4935121536254885,96.49468994140624,3003642,55.83764775594076,0.0198834367208731,24699028.0,0.0,27060324.0,110864.0,3336112.0,96.4954605102539,1.6084140539169312,55.030090967814125,26721701.0,110396.0,3469842.0,96.51138305664062,4.703783988952637,52.277028719584145,27836080.0,118074.85714285714,3621628.1428571427,96.5007825578962,2.100798794201442,52.92476419040135,25046493.266666666,107180.4,3418214.2666666666,96.53596674601236,3.9858924031257628,51.43934816386965,-7.569402112537671,-8.72604481749738,-8.492155512880906,-8.878445663154855,-13.43577027426609,-9.965792515359196,-68.24870876015632,-7.143801063639355,-0.01729652472661769,-0.0007985545056654608,0.14801368253862487,0.22596907587130868,244.49157609233632,8.223023841381949,0.03363282520592494,2.260722385318903e-06,-0.002673830304825645,-0.0030944331999762788,0.9996355328557621,1.1113763393395226,0.5270585810479936,4080519.753200615,5659732.937285622,20062.915761192693,26615.869921843892,648995.4248919461,852602.4287015186,7,0.3043443576783817
2024-07-18 00:00:00+00:00,1,0,0,3317771874,97371,1.4327603578567505,96.49241638183594,2994997,53.90709114074707,0.0190473094194135,23717196.0,0.0,24699028.0,101021.0,3003642.0,96.49468994140624,1.4935121536254885,55.83764775594076,25374987.0,106649.0,3277980.0,96.50885009765624,4.426052570343018,52.72960917154948,27599252.714285713,116749.42857142857,3581202.0,96.49843488420758,1.6731856209891183,53.09297590028672,25332076.5,108324.83333333333,3447718.933333333,96.53292846679688,3.9292691151301065,51.59340971973208,-6.533169849505738,-3.9751847724533884,-8.699565865596492,-3.6131101454153103,-8.632847058249283,-0.2878172565172532,-67.62893492370534,-4.0677135181835355,-0.017028195656321188,-0.0023561499308155653,0.13696143995654544,0.21122852441637285,243.57306001725343,7.918935505132223,0.032511207019169965,2.272911556148354e-06,-0.002417700631271766,-0.0030471411377243126,0.9996426754772993,1.0894982381047884,0.4258261707110676,3802178.091939181,5350857.139497675,18985.590303448145,25360.920547964994,615344.9265074132,820474.9360166892,7,0.2922461071161296
2024-07-19 00:00:00+00:00,1,0,0,3317771874,98670,1.361998438835144,96.48977661132812,2966862,52.19947020212809,0.0182892678531221,22827909.0,0.0,23717196.0,97371.0,2994997.0,96.49241638183594,1.4327603578567505,53.90709114074707,24946667.0,108196.0,3258847.0,96.50811767578124,1.4951341152191162,52.13792403539022,27296573.0,115388.57142857143,3539489.8571428573,96.49581473214286,1.654166238648551,53.101768209820705,25604505.266666666,109545.1,3478090.566666667,96.52990086873372,3.8723588824272155,51.70043622785144,-8.493150608055178,-3.7495452666495677,-8.804392029280194,1.3340727732076285,-8.95976399014744,-0.9393999392987684,-8.90459758952532,-4.9388523791556,-0.019004685714341107,-0.002735728471514598,0.12727646858408945,0.19465275978236152,231.35378175958488,7.694291580029142,0.03325734959787493,2.2866513054470643e-06,-0.0019621167864070518,-0.0029967396092232205,0.9996468852005016,1.0660847657750356,0.42717276184166864,3551464.259474292,4983987.613018677,18337.682351582138,23896.62144400113,595721.7436232162,783186.7766590816,7,0.28128820703978913
2024-07-20 00:00:00+00:00,1,1,0,3317771874,105824,1.5225365161895752,96.48200225830078,4016942,47.69773292541504,0.0205714854431386,25744245.0,0.0,22827909.0,98670.0,2966862.0,96.48977661132812,1.361998438835144,52.19947020212809,30793059.0,151243.0,4505722.0,96.5033950805664,2.1457395553588867,49.02030682563782,26575313.85714286,108900.14285714286,3469664.1428571427,96.49275861467633,1.565137233052935,52.91282908121745,25993440.4,111406.53333333334,3549916.8666666667,96.52666447957357,3.8398579716682435,51.3875296499994,-16.395948190791955,12.775309381161449,-30.030480749522294,7.250430728691604,-10.847983963502406,35.3936246444897,-29.043741008217438,11.786950173873345,-0.02216794781961795,-0.008057177973019858,0.12968942586611984,0.17248461573867857,243.2718639262934,6.408914689603512,0.02634441165831828,1.8527531521185371e-06,-0.002359117780413255,-0.0029665003894291733,0.9996487409455197,1.0223853960148677,0.4076028969303138,3595895.264956589,4483468.579120243,15507.116800942636,21109.25890290442,547527.3201343741,726645.5858011767,7,0.3172236457418442
2024-07-21 00:00:00+00:00,1,1,0,3317771874,85087,1.2450660467147827,96.474365234375,3405641,45.25890509287516,0.0180235453193189,22633071.0,0.0,25744245.0,105824.0,4016942.0,96.48200225830078,1.5225365161895752,47.69773292541504,32769368.0,128856.0,4321303.0,96.49864196777344,1.832491755485535,51.37159983317057,25127271.42857143,102647.42857142857,3338855.285714286,96.48929050990513,1.4812192746571131,52.039586975460956,26300379.933333334,112220.63333333333,3599512.1,96.52322718302409,3.7909961700439454,51.30340198013518,-30.93223219929051,-12.084930049414933,-33.967374433476124,-19.59574387662534,-21.189488448275906,-15.218068869304059,-32.05611741566109,-18.224224281281142,-0.0251575907218915,-0.007915490710208584,0.11860179994805854,0.1469953700420767,265.99603939450924,6.645757539988055,0.024984129277240533,1.9996801624134435e-06,-0.00348935808453679,-0.0029534345208882505,0.9996484092574464,0.9553957582462489,0.39072033001815004,3184545.8990915194,3866034.080547542,16119.115023564835,19493.990155204992,484529.0412158514,659037.1144834362,7,0.27888739005373847
2024-07-22 00:00:00+00:00,1,0,0,3317771874,80435,1.1405268907546997,96.4681625366211,2856541,48.08519331614176,0.0159226183132629,20038398.0,0.0,22633071.0,85087.0,3405641.0,96.474365234375,1.2450660467147827,45.25890509287516,29209127.0,119695.0,3647791.0,96.49632263183594,1.7042473554611206,54.34617074330648,23817167.285714287,97038.85714285714,3225819.5714285714,96.48526763916016,1.4006877796990531,51.145161628723145,26229823.9,109793.66666666667,3552852.933333333,96.51992212931314,3.597000189622243,51.507084698147246,-31.396792516256987,-11.464078383353282,-32.80003341827143,-5.467345187866535,-21.691209830826384,-16.123249632007596,-33.077385327900025,-8.396273935500764,-0.02918255789112756,-0.006429373998817489,0.13097307927391627,0.1510650334581173,249.12225869013875,7.014914536527032,0.028158171663500833,2.3996524530797976e-06,-0.004748480660571692,-0.003004642270166291,0.9996409602350635,0.9080185736860509,0.38940442197923636,3413243.765484185,3962409.225054025,17690.907956002415,18727.776503941226,504665.38324836927,660482.3208130745,7,0.2469155210566897
2024-07-23 00:00:00+00:00,1,0,0,3317771874,74981,1.0693966150283811,96.46170806884766,2747469,46.76652956008911,0.0149271321758449,18828082.0,0.0,20038398.0,80435.0,2856541.0,96.4681625366211,1.1405268907546997,48.08519331614176,27060324.0,110864.0,3336112.0,96.4954605102539,1.6084140539169312,55.030090967814125,22641132.714285713,91912.71428571429,3141727.714285714,96.4804458618164,1.3236852884292603,49.964652856190995,25717298.866666667,107972.73333333334,3469890.1333333333,96.51668930053711,3.422633687655131,51.57160499360827,-30.42181608764182,-6.0399838350351125,-32.36668350411315,-6.780630322620751,-17.644581476880873,-3.8183243300201175,-33.51235570069125,-6.2366154014352855,-0.0349782686436928,-0.0066907750740918814,0.15150469820928353,0.15122722235690356,251.10135765917153,6.852879922255748,0.02729092583358508,2.483871011195835e-06,-0.005816595894947923,-0.003112832006809013,0.9996244852679536,0.8803853325215227,0.3867446560827039,3845656.3295361954,3889155.674128344,19630.492229867064,19379.120607308443,539514.1616003602,594771.9356358866,7,0.2320018634986729
2024-07-24 00:00:00+00:00,1,0,0,3317771874,72276,1.0411479473114014,96.45525360107422,2612985,46.72204796473185,0.0140552166058192,17765388.0,0.0,18828082.0,74981.0,2747469.0,96.46170806884766,1.0693966150283811,46.76652956008911,24699028.0,101021.0,3003642.0,96.49468994140624,1.4935121536254885,55.83764775594076,21650612.714285713,87806.28571428571,3085919.5714285714,96.47481209891183,1.2590618303843908,48.66242431458973,25357876.4,106499.63333333333,3440573.4,96.51330032348633,3.2709015528361003,50.9033719168769,-28.072521720287934,-5.644196790729927,-28.45447976163372,-3.60758058708206,-13.006110581753749,-4.894832298380802,-30.288619025695684,-2.641552004186032,-0.04086892279353549,-0.006691222768762106,0.17464795301711578,0.1620986193280897,245.795868671915,6.798883729189518,0.027660308933916983,2.6299479265403e-06,-0.0064808981759212365,-0.0032317181715581077,0.9996012132582193,0.8538022811044901,0.3849280725959778,4321374.792068508,4110476.753532349,21480.149633179815,20365.563111804247,579901.9380953864,614952.974673434,7,0.2189072217646472
2024-07-25 00:00:00+00:00,1,0,0,3317771874,68102,1.4177097082138062,96.45172119140624,2541234,46.24546448389689,0.01347490097932,17065451.0,0.0,17765388.0,72276.0,2612985.0,96.45525360107422,1.0411479473114014,46.72204796473185,23717196.0,97371.0,2994997.0,96.49241638183594,1.4327603578567505,53.90709114074707,20700363.42857143,83625.0,3021096.285714286,96.46899850027901,1.2569117375782557,47.56790622075398,25057058.633333333,105156.4,3414403.3,96.50987599690755,3.1438435673713685,50.66880866686503,-28.04608521175943,-3.939891433837528,-30.05925788992616,-5.775084398693897,-15.150699650116506,-2.7459399881744395,-1.0504652477584253,36.16793961653726,-0.04217449614761781,-0.0036622263029806312,0.19771633238899589,0.17466754708333243,250.58295522957872,6.715416323165705,0.02679878090770826,2.709888052417064e-06,-0.006440026419502224,-0.0033452052030474876,0.9995764423463787,0.8261290254169655,0.3998009794835896,4774811.479781027,4376654.968607571,23356.76269447445,21531.509423199786,619393.4138395911,636316.5241428132,7,0.21028251488629013
2024-07-26 00:00:00+00:00,1,0,0,3317771874,71528,1.418725609779358,96.44808959960938,2443595,47.01905345916748,0.0131664614421731,16708789.0,0.0,17065451.0,68102.0,2541234.0,96.45172119140624,1.4177097082138062,46.24546448389689,22827909.0,98670.0,2966862.0,96.48977661132812,1.361998438835144,52.19947020212809,19826203.42857143,79747.57142857143,2946343.8571428573,96.46304321289062,1.265015619141715,46.827846686045326,24800733.133333333,104119.56666666667,3390830.7,96.50637283325196,3.039175780614217,50.47917213969761,-26.80543364703267,-2.0899652754562403,-27.5078544643762,5.030689260227317,-17.63705221206784,-3.842188480084874,4.164995298579788,0.07165793953909372,-0.04320355293874201,-0.003765191281190905,0.21904614588314206,0.18685566438050208,233.59461197556237,6.837787015529572,0.02927161445672689,2.814031025536109e-06,-0.005711964198520198,-0.0034451477254448053,0.9995510180406821,0.7994200543178336,0.4162364109410136,5161031.279995772,4634157.466752531,24421.254788730737,22389.05373042013,660626.8738362321,659110.1797948438,7,0.20588768334481056
2024-07-27 00:00:00+00:00,1,1,0,3317771874,147556,3.0077812671661377,96.43267822265624,4568700,41.531257232030235,0.0197194187735769,25083491.0,0.0,16708789.0,71528.0,2443595.0,96.44808959960938,1.418725609779358,47.01905345916748,25744245.0,105824.0,4016942.0,96.48200225830078,1.5225365161895752,47.69773292541504,19731810.0,85709.28571428571,3025166.4285714286,96.45599692208427,1.4771934407097953,45.946921586990356,24851648.4,105805.3,3441898.8666666667,96.50241012573242,3.000417113304138,50.10635028680166,-2.5666085760137847,50.12153783257423,39.43528878137283,106.29124259031428,13.735772137113255,86.96633443758071,97.55068171984853,112.00584851879229,-0.05112252491661362,-0.01597893438545217,0.2053791720811844,0.18624108303211984,169.99187432653144,5.490289471777645,0.032297145293596584,1.6557207119339776e-06,-0.006256920950753333,-0.0036089649985425114,0.9995190461710989,0.7939839515836704,0.49232936119440773,4755259.379620431,4628397.913149448,23810.136753488845,23698.81315542667,670034.6187768882,689378.970302825,7,0.3090817564450904
2024-07-28 00:00:00+00:00,1,1,0,3317771874,107018,2.275170087814331,96.41705322265624,4921311,42.32921393712362,0.0238553407678527,30474669.0,0.0,25083491.0,147556.0,4568700.0,96.43267822265624,3.0077812671661377,41.531257232030235,22633071.0,85087.0,3405641.0,96.474365234375,1.2450660467147827,45.25890509287516,20852038.285714287,88842.28571428571,3241690.714285714,96.44780949183873,1.6243511608668737,45.528394279025854,25110940.733333334,106040.46666666666,3502946.1666666665,96.49793980916341,2.942246913909912,49.84779896471236,34.64663721507346,21.492933340100073,25.774795209608993,-27.472959418796925,44.50469089372602,7.717972289710429,82.73489135918285,-24.35719602848834,-0.059406466764022614,-0.016203013633953045,0.19254328750445007,0.18798340223069432,284.75942589633615,6.192387111404439,0.021745827129025754,1.3889966302218733e-06,-0.007805415562224771,-0.003823429909641835,0.9994805037555846,0.8303965393870888,0.552078465334609,4426503.724786934,4720440.072265326,22248.239494249137,23673.830798399034,757489.7888446319,736604.6480218034,7,0.37551249232424416
