timestamp,isSummer,isWeekend,isHoliday,universe_id,sort_sort_position,daily_Estimated Revenue,visits_visits_gained,session_session_length,daily_rpv,ratings_like_ratio,platform_platform_share,ccu_playing,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2023-09-11 00:00:00+00:00,0,0,0,372226183,0.0,0.0,645984,0.0,0.0,92.28546905517578,0.2629993855953216,9946,0.0,21947.0,1135385.0,92.28549194335938,0.3372082412242889,0.0,0.0,14294.0,820260.0,92.28665161132812,0.2650861740112304,0.0,0.0,14161.714285714286,811304.5714285715,92.28610338483539,0.3006648421287536,0.0,0.0,14638.6,876883.4333333333,92.28831481933594,0.28120209077994024,0.0,0.0,0.0,-30.418357352735413,-54.681733266505674,-21.246434057493968,-43.10440951747645,-0.7872113374801648,-22.006833332287513,-0.0012813945805767446,-2.480149708938839e-05,0.0,0.0,0.0,0.0,0.015396642336896367,0.0,-0.0003476824079231106,-0.00020877214374349622,0.999976037762691,0.0,1.0692126836426843,0.0,0.0,4170.342938569399,3727.9015970437986,172922.55374624915,163436.73333648837,0,0.0
2023-09-12 00:00:00+00:00,0,0,0,372226183,0.0,0.0,592537,0.0,0.0,92.2858657836914,0.263331651687622,9257,0.0,9946.0,645984.0,92.28546905517578,0.2629993855953216,0.0,0.0,9564.0,648920.0,92.28750610351562,0.2566498517990112,0.0,0.0,14117.857142857143,803249.8571428572,92.28586905343192,0.3016193849699838,0.0,0.0,14243.933333333332,857236.8,92.28814341227213,0.27867611447970064,0.0,0.0,0.0,-3.2099539941447097,-6.927408003217373,-8.688744375269675,-8.273734333977313,2.6034692176029495,0.12633721236583462,-0.0017774018320260154,0.0004298927227530669,0.0,0.0,0.0,0.0,0.015622626734487916,0.0,-0.000172751290455936,-0.00020599874426366547,0.9999753558934429,0.0,1.0823295191018403,0.0,0.0,4301.15760293385,3646.4346964401607,182480.46324660597,160908.14771025418,0,0.0
2023-09-13 00:00:00+00:00,0,0,0,372226183,0.0,0.0,576042,0.0,0.0,92.28564453125,0.2635643482208252,9049,0.0,9257.0,592537.0,92.2858657836914,0.263331651687622,0.0,0.0,9607.0,609652.0,92.28671264648438,0.2630123496055603,0.0,0.0,14038.142857142857,798448.4285714285,92.2857164655413,0.30169824191502165,0.0,0.0,14021.866666666667,844931.9333333333,92.28794860839844,0.2776225676139195,0.0,0.0,0.0,-5.808264806911623,-2.2469482553743148,-5.512981176146392,-2.783792404524954,0.20987554998566083,0.08836633640958436,-0.0011573878879733712,-0.0002397468339521147,0.0,0.0,0.0,0.0,0.0157088967316676,0.0,-7.629394531290709e-05,-0.00019904996979994835,0.9999758132790815,0.0,1.08672088334902,0.0,0.0,4438.906032935562,3755.2433846771214,191763.3036437962,167912.57347941023,0,0.0
2023-09-14 00:00:00+00:00,0,0,0,372226183,0.0,0.0,580493,0.0,0.0,92.28588104248048,0.255179226398468,9008,0.0,9049.0,576042.0,92.28564453125,0.2635643482208252,0.0,0.0,13553.0,758991.0,92.2864761352539,0.3493988513946533,0.0,0.0,13388.857142857143,772948.7142857143,92.28563145228794,0.28823829548699514,0.0,0.0,13818.733333333334,833929.8666666667,92.28779703776041,0.2764280507961908,0.0,0.0,0.0,-33.53501069873829,-0.45308873908719294,-23.517801923869985,0.7726867138160065,-26.966209138954,-3.181432496071801,-0.000644832047280719,0.000256281712807116,0.0,0.0,0.0,0.0,0.015517817582955206,0.0,4.986354283292281e-05,-0.0001952887377024643,0.9999765344331323,0.0,1.0427244798665964,0.0,0.0,4534.84657469742,3858.211171472932,198874.5236526668,174161.4922497837,0,0.0
2023-09-15 00:00:00+00:00,0,0,0,372226183,0.0,0.0,636950,0.0,0.0,92.28594970703124,0.2459187805652618,10421,0.0,9008.0,580493.0,92.28588104248048,0.255179226398468,0.0,0.0,14307.0,798288.0,92.28577423095705,0.3255653083324432,0.0,0.0,12833.714285714286,749900.4285714285,92.28565652029855,0.2768602200916835,0.0,0.0,13718.933333333332,826920.2666666667,92.28764368693034,0.2752617885669072,0.0,0.0,0.0,-27.16152932131125,15.686056838365904,-20.210500471007954,9.72569867336901,-24.464070872641088,-3.628996750207958,0.00019014422931729058,7.440417750803618e-05,0.0,0.0,0.0,0.0,0.016360756164916924,0.0,0.00010435921806174825,-0.00018821945444968656,0.9999784676848124,0.0,1.0058069502966547,0.0,0.0,4580.261723531193,3907.423526582745,202580.1107356373,177801.1736115676,0,0.0
2023-09-16 00:00:00+00:00,0,1,0,372226183,0.0,0.0,995645,0.0,0.0,92.28533935546876,0.2657724618911743,16511,0.0,10421.0,636950.0,92.28594970703124,0.2459187805652618,0.0,0.0,20208.0,1081912.0,92.28529357910156,0.3098199069499969,0.0,0.0,12305.57142857143,737576.5714285715,92.28566305977958,0.2705677279404231,0.0,0.0,13824.7,832578.4333333333,92.28746032714844,0.2748404492934544,0.0,0.0,0.0,-18.294734758511478,58.43968908933883,-7.973569014855187,56.314467383625086,-14.217112609852911,8.073267637501047,4.960310080459607e-05,-0.0006613699749635771,0.0,0.0,0.0,0.0,0.016583203267024626,0.0,1.852852958063108e-05,-0.00018104154355397936,0.9999805253350511,0.0,0.9844538117878376,0.0,0.0,4522.22077361065,3939.5681904983676,203041.7847001806,180448.7712177015,0,0.0
2023-09-17 00:00:00+00:00,0,1,0,372226183,0.0,0.0,1059594,0.0,0.0,92.28438568115234,0.3034478724002838,18762,0.0,16511.0,995645.0,92.28533935546876,0.2657724618911743,0.0,0.0,21947.0,1135385.0,92.28549194335938,0.3372082412242889,0.0,0.0,11850.57142857143,726749.2857142857,92.28550502232143,0.26574481810842243,0.0,0.0,13990.966666666667,838720.1666666666,92.28725077311198,0.2756812393665313,0.0,0.0,0.0,-14.51223401831685,13.633335352189446,-6.675356817291056,6.42287160584345,-10.011727086334721,14.175814243891228,-0.0011987390257539587,-0.001033397420524551,0.0,0.0,0.0,0.0,0.017706765320712158,0.0,-0.0001427786690856684,-0.0001787264169378215,0.9999810835107134,0.0,0.9639568463891809,0.0,0.0,4512.113924308101,4041.2986601982175,204875.09089432948,185031.84536817108,0,0.0
2023-09-18 00:00:00+00:00,0,0,0,372226183,0.0,0.0,592027,0.0,0.0,92.2838897705078,0.246195837855339,8998,0.0,18762.0,1059594.0,92.28438568115234,0.3034478724002838,0.0,0.0,9946.0,645984.0,92.28546905517578,0.2629993855953216,0.0,0.0,11715.142857142857,719041.1428571428,92.28527941022601,0.2633443112884249,0.0,0.0,13668.633333333333,821759.3666666667,92.28704554239908,0.27377071926991137,0.0,0.0,0.0,-9.531469937663385,-52.04136019614114,-8.352683657799576,-44.12699581160331,-6.3891965762377545,-18.86717283336974,-0.0017113037232729944,-0.0005373722118728885,0.0,0.0,0.0,0.0,0.015198605471362842,0.0,-0.0003209795270652318,-0.00018112810620658348,0.9999808626209378,0.0,0.9619155473993293,0.0,0.0,4643.954228792733,4041.034618999744,210553.31276495036,183489.32251251716,0,0.0
2023-09-19 00:00:00+00:00,0,0,0,372226183,0.0,0.0,560975,0.0,0.0,92.28306579589844,0.2461132705211639,8663,0.0,8998.0,592027.0,92.2838897705078,0.246195837855339,0.0,0.0,9257.0,592537.0,92.2858657836914,0.263331651687622,0.0,0.0,11630.285714285714,714532.2857142857,92.28487941196987,0.2608845425503595,0.0,0.0,13283.466666666667,802297.4666666667,92.28679682413737,0.271316023170948,0.0,0.0,0.0,-6.416765690828563,-3.7230495665703467,-5.326587200461741,-5.24503105432691,-6.538667515321506,-0.03353725834455146,-0.0030340375193893543,-0.0008928693961740564,0.0,0.0,0.0,0.0,0.015442728387667208,0.0,-0.00047438485281877074,-0.0001827914669716176,0.9999792233316847,0.0,0.9615522868916003,0.0,0.0,4700.217482108877,3944.7932661476802,215541.29608518357,178948.19186178604,0,0.0
2023-09-20 00:00:00+00:00,0,0,0,372226183,0.0,0.0,565818,0.0,0.0,92.28245544433594,0.2467096000909805,8696,0.0,8663.0,560975.0,92.28306579589844,0.2461132705211639,0.0,0.0,9049.0,576042.0,92.28564453125,0.2635643482208252,0.0,0.0,11579.857142857143,713071.7142857143,92.284423828125,0.25847672138895306,0.0,0.0,13128.466666666667,792479.1,92.286536916097,0.2706392476956049,0.0,0.0,0.0,-3.9009835340921617,0.3809303936280761,-1.7748705823533717,0.8633183296938407,-6.394927175705522,0.24229882791522162,-0.003455669546725826,-0.0006613906432750838,0.0,0.0,0.0,0.0,0.015368872377915906,0.0,-0.0006247929164333463,-0.00018696684195488938,0.9999771029660163,0.0,0.9550600054862282,0.0,0.0,4754.915044133189,4032.62819009398,218178.17707112868,183670.37859265515,0,0.0
