timestamp,isSummer,isWeekend,isHoliday,universe_id,visits_visits_gained,sort_sort_position,session_session_length,daily_Estimated Revenue,ccu_playing,platform_platform_share,daily_rpv,ratings_like_ratio,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-27 00:00:00+00:00,1,0,0,7008097940,20281686,4,18.81069048245748,37841484,180713,1.5044708251953125,0.0209617502823596,80.1119384765625,35968159.0,180385.0,20166776.0,80.1034164428711,1.482085347175598,15.390880465507507,61559228.0,204123.0,22574083.0,79.64165496826172,1.5722901821136477,15.829413533210754,57769043.0,194984.0,22652143.0,79.90612683977399,1.474630832672119,17.451821514538356,66792592.766666666,238333.26666666666,27194344.533333335,79.89966735839843,1.7935046911239625,17.299463201893698,-38.528332421582675,5.208287140856993,-11.468575319782682,0.18183330099510453,-10.154995000239875,0.569798563736712,-4.31341222440026,1.5104041115023836,0.5904994170301991,0.010638789292438666,0.20357875892957708,0.15981337345863353,209.3998472724858,1.8657956806058589,0.008910156240947808,4.970917627164336e-07,0.09267752511160873,-0.013289587171509885,1.000080844909486,0.8649019390789403,0.8222062869252881,12752222.52182961,10674349.572089724,26453.478230451998,42108.86374046012,3025648.5828241343,4457706.93711592,15,0.4473027831130294
2025-08-28 00:00:00+00:00,1,0,0,7008097940,20010827,4,16.450927257537842,37804215,175292,1.4750349521636963,0.0207029195974819,80.13360595703125,37841484.0,180713.0,20281686.0,80.1119384765625,1.5044708251953125,18.81069048245748,58068306.0,196634.0,22065978.0,79.6306381225586,1.589778184890747,17.999627192815144,54874172.85714286,191935.14285714287,22358550.0,79.9779793875558,1.4582389422825401,17.2305786666416,65731980.03333333,236254.63333333333,26882888.2,79.89072977701822,1.7818765044212341,17.35724464787377,-34.89699010678906,-0.09848715235375449,-10.853667219300833,-2.999784188187904,-9.3136637768786,-1.3354856198838694,-7.21756241327064,-1.9565599105449416,0.6316260252725137,0.027046506277073057,0.23541881531108755,0.1809542233990013,215.66300422720815,1.8891879436473094,0.008759857413196495,4.3516118037040743e-07,0.07769475664411386,-0.008317781475946273,1.001092111823,0.8348169769009792,0.8183726193506246,14379150.747365408,11894479.399410492,23885.530842005184,43654.46221966889,2853781.39739011,4624857.166919859,15,0.4468622473395423
2025-08-29 00:00:00+00:00,1,0,0,7008097940,20416578,4,17.05271550019582,39618272,182408,1.257290959358215,0.0214573011843027,80.17790985107422,37804215.0,175292.0,20010827.0,80.13360595703125,1.4750349521636963,16.450927257537842,68889746.0,204992.0,22790855.0,79.64083099365234,1.4296869039535522,16.75662648677826,50692533.71428572,188708.85714285713,22019367.57142857,80.05470493861607,1.433610950197492,17.272877097129822,64891462.8,234633.8,26611289.4,79.88595275878906,1.7639983733495077,17.37887065410614,-42.490320693009956,4.798557515345836,-11.017015298157972,4.0595121283344415,-10.417674106565988,2.0276573277056453,-12.058300605440664,-14.761954792059495,0.6743762599170866,0.05528753325629854,0.2550583293543461,0.19748988618758645,217.19472175166794,1.9404951240851858,0.008934307750578586,4.304255135047361e-07,0.050951821463452576,-0.0034961059706098423,1.0021124136847506,0.7811895668082508,0.8127053697194342,14959687.746589215,12815407.602917999,19890.810174163336,44744.112124621286,2863869.303913046,4759969.724159786,15,0.4683051892924972
2025-08-30 00:00:00+00:00,1,1,0,7008097940,25117155,4,14.540105778238049,36171416,190575,1.2931147813796997,0.0193485112519148,80.22261810302734,39618272.0,182408.0,20416578.0,80.17790985107422,1.257290959358215,17.05271550019582,71174088.0,201103.0,25535718.0,79.85649108886719,1.3312859535217283,14.008375604947409,45692152.0,187204.85714285713,21959572.85714286,80.1070087977818,1.428157925605774,17.348838550457057,63999848.56666667,233462.53333333333,26533044.966666665,79.88522237141927,1.7498948057492574,17.296665824726585,-49.17895400359748,-8.700167437893302,-5.235128267604161,4.477325555896661,-1.6391275937492678,23.023334272765993,-2.8672406586317645,2.8492865358525243,0.4584812194574406,0.05576130886446595,0.2684142934156786,0.21634952000911312,189.8004785492402,1.4401079485272934,0.007587443419151436,4.019777764923627e-07,0.04062625340053211,0.0011488730968440026,1.0027763135631187,0.7139415642898576,0.8161393021532375,14934309.274953082,13846336.51805426,16968.769914686385,45440.173908977864,2481204.4326803354,4764751.560214424,15,0.4275618537037068
2025-08-31 00:00:00+00:00,1,1,0,7008097940,34675625,5,16.528831362724304,37310286,345647,2.6372671127319336,0.0196790959076545,80.34980010986328,36171416.0,190575.0,25117155.0,80.22261810302734,1.2931147813796997,14.540105778238049,71530490.0,214179.0,25626166.0,79.91718292236328,1.5126302242279053,22.38843568166097,40803551.428571425,205986.0,23252352.714285713,80.16881125313895,1.5888203382492065,16.51175221918039,62777864.666666664,237529.93333333332,26802952.433333334,79.89108301798503,1.785994791984558,17.15487366379171,-47.84002458252418,3.1485358494121485,61.38230171958969,81.37058900695264,35.31335510743199,38.055544109195495,74.34975650298664,103.94686927312664,0.5413318784275312,0.15853634528930627,0.27229071021557294,0.23155568598754064,107.94301138730732,1.0759801712015236,0.009968010382855092,4.430100299878236e-07,0.03952162606375785,0.006137585666474898,1.0034763358395256,0.6499671762527629,0.8895996479831525,14388071.01894764,14536571.517722989,42283.7903742979,49782.8865339342,3776438.497544381,4991361.215412548,15,0.4410237919459791
2025-09-01 00:00:00+00:00,0,0,1,7008097940,33952901,5,18.660642981529236,31794908,297609,2.341038465499878,0.0164321341426147,80.33870697021484,37310286.0,345647.0,34675625.0,80.34980010986328,2.6372671127319336,16.528831362724304,60911028.0,186882.0,22097822.0,80.08238983154297,1.4724783897399902,16.808114687601726,36644105.71428572,221804.14285714287,24945935.42857143,80.20542798723493,1.7129003490720476,16.77639911831289,61330382.6,238521.76666666666,26945881.833333332,79.89535115559896,1.8020052909851074,17.262172705539758,-47.80106485807464,-14.782459721697116,59.24968696824735,-13.897994196391117,53.64817853994841,-2.0842421729961647,58.9862698027954,-11.232409709352254,0.3200667952230729,-0.013806057554932583,0.29875436227564905,0.25096577569930617,106.83413863781459,0.9364415448199391,0.008765347951700858,5.869066328049323e-07,0.04537882123674838,0.011229480917382725,1.003881037221203,0.5974869903108303,0.9505523416835537,15135276.605941921,15391827.043144232,48795.22823882586,50695.905836653554,4701929.440656527,5135456.168743322,15,0.37582962753846344
2025-09-02 00:00:00+00:00,0,0,0,7008097940,22468221,4,24.07820177078247,33631331,279871,2.3907628059387207,0.0171286464251717,80.33502197265625,31794908.0,297609.0,33952901.0,80.33870697021484,2.341038465499878,18.660642981529236,35968159.0,180385.0,20166776.0,80.1034164428711,1.482085347175598,15.390880465507507,36310273.14285714,236016.42857142858,25274713.285714287,80.23851449148995,1.8427114146096366,18.017445019066457,59896023.36666667,239624.06666666668,26636718.966666665,79.90326817830403,1.8185748259226482,17.574968412129774,-6.496935247645008,5.775839955253215,55.152035923164334,-5.960169215312705,11.41206209658896,-33.82532762075323,61.310737636991334,2.1240291935239686,0.28913314821015224,-0.00458682706949709,0.3177310780213473,0.26562844911161987,120.16682983649669,1.496839892359974,0.012456303841042696,7.159455287344096e-07,0.044690813337054665,0.015460274667708942,1.004195652078183,0.6062217673546677,1.0132722549234359,15484237.295173025,15910087.79484101,52024.11194171569,51238.76363412779,4719255.925875924,5115840.911313946,15,0.39753694532950934
2025-09-03 00:00:00+00:00,0,0,0,7008097940,20288507,4,38.48760954538981,31942804,272229,2.422755002975464,0.0160943471775467,80.32302856445312,33631331.0,279871.0,22468221.0,80.33502197265625,2.3907628059387207,24.07820177078247,37841484.0,180713.0,20281686.0,80.1119384765625,1.5044708251953125,18.81069048245748,35467604.571428575,249090.14285714287,25275687.714285713,80.26867021833148,1.9738948685782296,20.828433456628222,58750340.96666667,240665.3,26370195.433333334,79.91402231852213,1.8366021474202474,18.34289896349976,-15.587866480077794,-5.020696326291696,50.641625118281475,-2.730543714782885,0.033631326310845644,-9.701319922035657,61.037021283609036,1.3381585558079445,0.26349392101201463,-0.014929239961125607,0.33505590205460484,0.2834408049245567,117.33756015134261,1.5744284399818853,0.013417891547273955,1.2048913533232229e-06,0.035663604736331164,0.01883831087818991,1.0044378682178678,0.6037004039100287,1.0747536538334272,15619744.52829614,16652243.933184158,53861.81669715173,51583.745600220514,4815663.703127871,5233965.772210886,15,0.3775778225196984
2025-09-04 00:00:00+00:00,0,0,0,7008097940,18672866,4,30.23173991839091,29987491,259866,2.2654075622558594,0.0149642912877967,80.3214111328125,31942804.0,272229.0,20288507.0,80.32302856445312,2.422755002975464,38.48760954538981,37804215.0,175292.0,20010827.0,80.13360595703125,1.4750349521636963,16.450927257537842,34350929.71428572,261172.14285714287,25084550.42857143,80.29549952915737,2.0868052414485385,22.79712097960723,57551614.96666667,241319.13333333333,26104278.2,79.92658996582031,1.849965465068817,18.804441906288623,-20.676858387351782,-6.1212941731727755,48.24749560732948,-4.541397132561187,-6.686185433515568,-7.963331160838994,53.58331400437548,-6.494566744320451,0.23436506262048962,-0.0020136586848518157,0.3550069234149249,0.30223308905006585,115.39553309962403,1.6059393021971398,0.01391677025279514,1.0081449931988615e-06,0.022019522530697985,0.021676000949406873,1.0046156049381665,0.5968716904674428,1.1280238906356619,15837764.57763198,17394002.37119567,54217.765203223375,51702.488364536686,5000374.48393445,5418634.990089399,15,0.3544651732706075
2025-09-05 00:00:00+00:00,0,0,0,7008097940,20180239,4,55.88857104561546,34992090,280011,2.090458631515503,0.0172904031282786,80.31019592285156,29987491.0,259866.0,18672866.0,80.3214111328125,2.2654075622558594,30.23173991839091,39618272.0,182408.0,20416578.0,80.17790985107422,1.257290959358215,17.05271550019582,33690046.571428575,275115.4285714286,25050787.714285713,80.31439753941127,2.2058291946138655,28.345100343238606,56518759.1,242765.83333333334,25880013.433333334,79.94147211710612,1.857408328851064,20.08525725669593,-11.676889895652188,16.68895540477193,53.50806982149905,7.752072221837403,-1.157583802731288,8.072531554609785,66.26689438557474,-7.722624999368543,0.16499067139945645,-0.013962914499088264,0.340432265148043,0.31479494644708855,124.96639429738725,1.7339778912441082,0.013875503958327552,1.5971772320098122e-06,0.006795610700336606,0.023717370632625457,1.0046649806718453,0.5960860979240532,1.1875844209110034,14363276.472851153,17791819.744140398,55612.086473877374,52171.259154814776,5085700.677771975,5522448.507667258,15,0.41362170796318676
2025-09-06 00:00:00+00:00,0,1,0,7008097940,24311815,4,110.66002655029295,46508930,269619,1.8233342170715332,0.0227313198903825,80.30677032470703,34992090.0,280011.0,20180239.0,80.31019592285156,2.090458631515503,55.88857104561546,36171416.0,190575.0,25117155.0,80.22261810302734,1.2931147813796997,14.540105778238049,35166834.28571428,286407.4285714286,24935739.14285714,80.32641928536552,2.2815748282841275,42.07651759638931,55909312.56666667,244168.73333333334,25803154.533333335,79.95823669433594,1.8583865602811178,23.01420817971491,28.579235051234942,32.91269541202026,41.47658402203858,-3.711282771033997,-3.206334475381467,20.47337496845305,41.0032769965023,-12.778268386507829,0.10489837363774068,-0.004265458582397574,0.292430958105483,0.3185832980729526,172.4980713596914,1.9130175220148096,0.011090039510006163,2.3793285326272702e-06,-0.007132938929960802,0.025124898025801187,1.0046046862243483,0.6289977943080788,1.2277181061506353,11822835.415484767,17811773.190480243,55706.95343541002,52313.16416440463,5059114.63417927,5527872.036469155,15,0.5497557608631064
2025-09-07 00:00:00+00:00,0,1,0,7008097940,23472197,4,41.84528259609056,50749801,242616,1.982028841972351,0.0244978450947358,80.28072357177734,46508930.0,269619.0,24311815.0,80.30677032470703,1.8233342170715332,110.66002655029295,37310286.0,345647.0,34675625.0,80.34980010986328,2.6372671127319336,16.528831362724304,37086765.0,271688.71428571426,23335249.42857143,80.3165512084961,2.1879693610327586,45.6931534868702,55039354.3,244615.96666666667,25762739.966666665,79.97534917195638,1.8724189162254334,23.871954501397685,36.02093803301321,9.11840156288266,-29.80815687681363,-10.015243732822988,-32.309231628845914,-3.453538948038226,-24.84535099218008,8.703540108828655,-0.08596976967146785,-0.032434068540387884,0.216654980738234,0.31588425347626015,209.176607574902,2.1621239306178315,0.01033631362516625,8.245408050279795e-07,-0.008688790457587721,0.025888993344928172,1.0042663400669385,0.6738226760047583,1.168525559143269,8437662.502763547,17386065.344870888,55335.65118661972,52238.070651706104,5020371.034073309,5540748.682818524,15,0.5998846987536853
2025-09-08 00:00:00+00:00,0,0,0,7008097940,14365173,4,71.26213023973548,31978386,218118,2.013636589050293,0.0152963452532004,80.28003692626953,50749801.0,242616.0,23472197.0,80.28072357177734,1.982028841972351,41.84528259609056,31794908.0,297609.0,33952901.0,80.33870697021484,2.341038465499878,18.660642981529236,37112976.14285714,260332.85714285713,20537002.57142857,80.30816977364677,2.1411976643971036,53.207651666613955,53290451.6,239434.93333333332,25293651.1,79.98684870402018,1.8502292513847352,25.58772516253752,0.5770672461137494,-36.98815488951376,-26.70987772547201,-10.097437926600062,-57.69088184835811,-38.79919719487699,-13.985326652019591,1.5947168077780516,-0.073028364729677,-0.0008553055793059094,0.15627146187998334,0.31825026720582517,146.60981390892127,2.226105023162267,0.015183804943817597,2.2284466768050396e-06,-0.009435926164901699,0.027576802118999696,1.004017173758346,0.6964282536284069,1.1572607355518805,5763063.5029086545,16959700.461219095,53684.75392045675,46389.94640558057,5558587.759326293,5891092.135721093,15,0.3779984172201792
2025-09-09 00:00:00+00:00,0,0,0,7008097940,13351480,4,36.996515620838515,31412064,210433,2.0330874919891357,0.0149298848639686,80.27458953857422,31978386.0,218118.0,14365173.0,80.28003692626953,2.013636589050293,71.26213023973548,33631331.0,279871.0,22468221.0,80.33502197265625,2.3907628059387207,24.07820177078247,36795938.0,250413.14285714287,19234611.0,80.2995365687779,2.090101190975734,55.05312507376482,51570001.63333333,235590.43333333332,24357071.866666667,79.99964116414388,1.8369612654050191,26.30786042975186,-6.598808117347477,-1.7709524176736102,-24.810716365754224,-3.5233222384214002,-40.57615865537374,-7.0566014067495075,-14.960719359574682,0.9659589542925673,-0.07522551509676623,-0.006785482299065393,0.16261870613860963,0.3189742982107758,149.2727601053062,2.3527025953150815,0.015761023065531083,1.1777804363017368e-06,-0.009197780064169684,0.02877089826098065,1.003748709372567,0.7135143850027763,1.1378036272936336,5944218.733373717,16449505.079721062,51633.50249622302,43688.98505043091,6075789.2109416295,5451204.811769896,15,0.37130424511165044
2025-09-10 00:00:00+00:00,0,0,0,7008097940,13496561,4,53.11316125289254,30574911,201425,1.910678505897522,0.0144264285484907,80.2613754272461,31412064.0,210433.0,13351480.0,80.27458953857422,2.0330874919891357,36.996515620838515,31942804.0,272229.0,20288507.0,80.32302856445312,2.422755002975464,38.48760954538981,36600524.71428572,240298.2857142857,18264333.0,80.29072897774833,2.016947405678885,57.142489603408066,50427461.96666667,232556.73333333334,23622288.633333333,80.01445236206055,1.824598773320516,27.525499750408734,-4.28231973623856,-2.665068427213191,-26.008985082412238,-4.28069741913103,-33.476815223515466,1.0866285984774793,-21.13612381148916,-6.020842023470962,-0.07675648977498728,-0.016461138454992863,0.17031625304451006,0.330849930578641,151.79227607160942,2.2653851403046197,0.014924171059266796,1.7371484586085657e-06,-0.009930474417546123,0.029200184517628992,1.0034528339260218,0.7258054101251264,1.1054196874243873,6137186.87193509,16683922.290928727,49975.00343506904,42755.46076914156,6501012.150699298,5376987.069825539,15,0.36140873290627756
