timestamp,isSummer,isWeekend,isHoliday,universe_id,visits_visits_gained,ratings_like_ratio,ccu_playing,platform_platform_share,session_session_length,daily_Estimated Revenue,daily_rpv,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2022-07-29 00:00:00+00:00,1,0,0,2142948266,2935140,91.99761199951172,54426,1.0488603115081787,0.0,0.0,0.0,0.0,0.0,69022.0,3631287.0,91.99334716796876,1.3215007781982422,0.0,0.0,106719.0,5050344.0,92.14958953857422,2.046874761581421,0.0,0.0,70652.71428571429,3356161.714285714,91.88557761056083,1.3608167852674211,0.0,0.0,88554.18181818182,3773363.0,91.87297266179866,1.7164245518771084,0.0,0.0,0.0,-49.00064655778259,-21.146880704702852,-41.882374745165876,-19.170806383521878,-48.75796354546741,-20.631124187591197,-0.16492481390694147,0.004636021706194704,0.0,0.0,0.0,0.0,0.0185428911251623,0.0,0.0014217921665772675,0.014665707674893093,1.0001371997487072,0.0,0.7928206245821937,0.0,0.0,28966.840507097702,28966.840507097702,888411.2631352666,888411.2631352666,0,0.0
2022-07-30 00:00:00+00:00,1,1,0,2142948266,2659337,92.00023651123048,48613,0.9170227646827698,0.0,0.0,0.0,0.0,0.0,54426.0,2935140.0,91.99761199951172,1.0488603115081787,0.0,0.0,105847.0,4402532.0,92.0001449584961,2.036702871322632,0.0,0.0,62476.42857142857,3107133.8571428573,91.88559068952289,1.2008624843188695,0.0,0.0,85225.75,3680527.5,91.88357798258464,1.6498077362775803,0.0,0.0,0.0,-54.07238750271619,-10.680557086686516,-39.59528289629694,-9.39658755630055,-54.97513272089333,-12.569600105836487,9.951368493688051e-05,0.002852804177977397,0.0,0.0,0.0,0.0,0.018280113321435636,0.0,0.03007343837193432,0.016176077035759694,1.000021904969119,0.0,0.7278802601740403,0.0,0.0,29928.90818141915,29928.90818141915,906059.324397741,906059.324397741,0,0.0
2022-07-31 00:00:00+00:00,1,1,0,2142948266,2113657,91.95635223388672,35387,0.6699057221412659,0.0,0.0,0.0,0.0,0.0,48613.0,2659337.0,92.00023651123048,0.9170227646827698,0.0,0.0,79402.0,4048974.0,91.911376953125,1.560916543006897,0.0,0.0,56188.57142857143,2830660.0,91.8920157296317,1.073575224195208,0.0,0.0,81392.0,3559999.0,91.88917600191556,1.5744306582670946,0.0,0.0,0.0,-55.433112516057534,-27.20671425338901,-47.797713692407015,-20.519400136199362,-57.082540694278116,-26.947754413380387,0.04893331190616301,-0.047700178834220175,0.0,0.0,0.0,0.0,0.01674206517799947,0.0,0.04133878435407842,0.015108925955639656,1.0000309038326352,0.0,0.6818815541719977,0.0,0.0,31814.52326637422,31814.52326637422,970249.4999277248,970249.4999277248,0,0.0
2022-08-01 00:00:00+00:00,1,0,0,2142948266,1972003,92.03550720214844,32957,0.656826913356781,0.0,0.0,0.0,0.0,0.0,35387.0,2113657.0,91.95635223388672,0.6699057221412659,0.0,0.0,61302.0,2727479.0,91.822509765625,1.15806245803833,0.0,0.0,52139.28571428572,2722734.8571428573,91.92244393484933,1.001970146383558,0.0,0.0,77932.35714285714,3446570.714285714,91.89962823050362,1.5088875336306435,0.0,0.0,0.0,-46.23829565103912,-6.866928533077122,-27.698691722282742,-6.701844244359423,-43.28225487342057,-1.9523357320609502,0.23196647212879729,0.08607884756062223,0.0,0.0,0.0,0.0,0.016712440745556296,0.0,0.04678344726563151,0.016268032199731882,1.0002482676457458,0.0,0.664045612447102,0.0,0.0,33194.471401603434,33194.471401603434,1024252.7008407663,1024252.7008407663,0,0.0
2022-08-02 00:00:00+00:00,1,0,0,2142948266,1433102,92.07955932617188,26075,0.6619092226028442,0.0,0.0,0.0,0.0,0.0,32957.0,1972003.0,92.03550720214844,0.656826913356781,0.0,0.0,55823.0,2361388.0,91.76807403564452,1.0703253746032717,0.0,0.0,47889.57142857143,2590122.5714285714,91.9669418334961,0.9436249818120684,0.0,0.0,74475.2,3312339.466666667,91.91162363688152,1.452422312895457,0.0,0.0,0.0,-53.28986260143669,-20.881755014109295,-39.31103232505628,-27.32759534341479,-38.15813038645482,0.7737669000330127,0.3394266402565682,0.04786427039151775,0.0,0.0,0.0,0.0,0.018194784324643797,0.0,0.041564396449498796,0.017716053553987948,1.0006018629029243,0.0,0.649690502159057,0.0,0.0,32931.379689397356,34676.31403257437,1153420.727603661,1115539.6702679615,0,0.0
2022-08-03 00:00:00+00:00,1,0,0,2142948266,1407279,92.1248779296875,30204,0.6307357549667358,0.0,0.0,0.0,0.0,0.0,26075.0,1433102.0,92.07955932617188,0.6619092226028442,0.0,0.0,68747.0,3386332.0,91.70597839355467,1.329349160194397,0.0,0.0,42383.42857142857,2307400.714285714,92.02678462437221,0.8438230667795453,0.0,0.0,71708.25,3193273.1875,91.92495203018188,1.4010669030249119,0.0,0.0,0.0,-56.06499192692045,15.835091083413232,-58.44237954223035,-1.8018954687105349,-52.55304070192511,-4.709628839061053,0.45678541734228695,0.049216790183681525,0.0,0.0,0.0,0.0,0.021462679779432666,0.0,0.02120562962123484,0.019293829974005135,1.0011077796826795,0.0,0.6022717865633156,0.0,0.0,29643.659038154005,35281.43753779505,1140221.8753392296,1178259.4367253315,0,0.0
2022-08-04 00:00:00+00:00,1,0,0,2142948266,1388010,92.12222290039062,24324,0.4930224120616913,0.0,0.0,0.0,0.0,0.0,30204.0,1407279.0,92.1248779296875,0.6307357549667358,0.0,0.0,69022.0,3631287.0,91.99334716796876,1.3215007781982422,0.0,0.0,35998.0,1986932.5714285714,92.04519544328961,0.7254690144743238,0.0,0.0,68920.94117647059,3087081.2352941176,91.93655619901769,1.347652521203546,0.0,0.0,0.0,-64.75906232795342,-19.46762018275725,-61.77636193448769,-1.3692380828535078,-62.69223445075176,-21.83376189166688,0.14009244840993418,-0.0028819894870357743,0.0,0.0,0.0,0.0,0.017524356795443265,0.0,0.02665437970842804,0.019946247923608794,1.0011816762424377,0.0,0.5383205262929573,0.0,0.0,27070.387902407554,36042.41436396601,1157380.2233295846,1221978.422924814,0,0.0
2022-08-05 00:00:00+00:00,1,0,0,2142948266,1202482,92.11326599121094,21151,0.4307219982147217,0.0,0.0,0.0,0.0,0.0,24324.0,1388010.0,92.12222290039062,0.4930224120616913,0.0,0.0,54426.0,2935140.0,91.99761199951172,1.0488603115081787,0.0,0.0,31244.428571428572,1739410.0,92.0617174421038,0.637163541146687,0.0,0.0,66267.05555555556,2982381.277777778,91.9463734096951,1.2967119365930557,0.0,0.0,0.0,-61.138059015911516,-13.044729485282025,-59.03152830870078,-13.366474304940168,-58.934283861367845,-12.63642632115759,0.12571412364468237,-0.009722853940874465,0.0,0.0,0.0,0.0,0.017589437854838696,0.0,0.027150017874584043,0.019897012149584555,1.0012544707108213,0.0,0.4913686094544271,0.0,0.0,24537.291699697504,36734.40561568825,1038434.3390143315,1265982.4614364926,0,0.0
2022-08-06 00:00:00+00:00,1,1,0,2142948266,1298560,92.08903503417967,21032,0.3942647874355316,0.0,0.0,0.0,0.0,0.0,21151.0,1202482.0,92.11326599121094,0.4307219982147217,0.0,0.0,48613.0,2659337.0,92.00023651123048,0.9170227646827698,0.0,0.0,27304.285714285714,1545013.2857142857,92.07440294538226,0.5624838301113674,0.0,0.0,63886.26315789474,2893759.1052631577,91.95388191624691,1.249214718216344,0.0,0.0,0.0,-56.7358525497295,-0.5626211526641778,-51.16978404767805,7.989974070297934,-57.0059978203571,-8.464209148894131,0.09651988550958279,-0.0263056105659909,0.0,0.0,0.0,0.0,0.016196389695978856,0.0,0.021293912615093172,0.019165012292693,1.0013106682026227,0.0,0.4502699351113106,0.0,0.0,19989.149428193225,37177.20061908031,938525.4250304415,1289533.2331902066,0,0.0
2022-08-07 00:00:00+00:00,1,1,0,2142948266,1340450,92.05699157714844,20684,0.3848026394844055,0.0,0.0,0.0,0.0,0.0,21032.0,1298560.0,92.08903503417967,0.3942647874355316,0.0,0.0,35387.0,2113657.0,91.95635223388672,0.6699057221412659,0.0,0.0,25203.85714285714,1434555.142857143,92.08877999441964,0.5217548183032444,0.0,0.0,61726.15,2816093.65,91.95903739929199,1.205994114279747,0.0,0.0,0.0,-41.54915646989007,-1.6546215290985211,-36.5814793980291,3.2258809758501705,-42.5586874740472,-2.399947510573286,0.10944251355877732,-0.03479616983644851,0.0,0.0,0.0,0.0,0.015430627452999028,0.0,0.002564021519252187,0.01790014854947418,1.0014108737846428,0.0,0.4326346307376888,0.0,0.0,18277.73295645477,37452.92497224103,828801.2793357467,1302310.8608749565,0,0.0
