timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_Estimated Revenue,session_session_length,daily_rpv,visits_visits_gained,platform_platform_share,ratings_like_ratio,ccu_playing,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2023-07-29 00:00:00+00:00,1,1,0,1230230722,0.0,0.0,0.0,869759,0.2596315741539001,90.94156646728516,15730,0.0,0.0,17948.0,833411.0,90.94007873535156,0.3024824261665344,0.0,0.0,14913.0,839097.0,90.92852783203124,0.2623974978923797,0.0,0.0,15489.142857142857,770028.5714285715,90.93465314592633,0.26250178899083815,0.0,0.0,15881.9,777168.8333333334,90.91140238444011,0.280988821387291,0.0,0.0,0.0,5.478441628109709,-12.357922888344108,3.654166324036434,4.361353521851763,-1.0540968418891072,-14.166393914416176,0.014339432920329465,0.0016359474879212854,0.0,0.0,0.0,0.0,0.018085448859455483,0.0,0.0020405905587356664,0.002020718550126038,1.0002557518735429,0.0,0.9342072317853105,0.0,0.0,1171.0888729517903,1267.2112838556727,69192.88814301544,82298.57056456523,0,0.0
2023-07-30 00:00:00+00:00,1,1,0,1230230722,0.0,0.0,0.0,797890,0.2536705434322357,90.944580078125,15679,0.0,0.0,15730.0,869759.0,90.94156646728516,0.2596315741539001,0.0,0.0,15188.0,816076.0,90.9294662475586,0.2598268985748291,0.0,0.0,15559.285714285714,767430.5714285715,90.93681226457868,0.26162230968475336,0.0,0.0,15782.733333333334,776166.4,90.9134157816569,0.2779680252075195,0.0,0.0,0.0,3.2328153805635917,-0.3242212333121386,-2.2284689171106598,-8.263093569598013,-2.369406391856066,-2.295957547186034,0.016621488270107676,0.0033137881355171928,0.0,0.0,0.0,0.0,0.019650553772382444,0.0,0.0023632049560652862,0.002047014925981282,1.0002573490691185,0.0,0.9411956986399314,0.0,0.0,1118.4735108644022,1154.1606573560825,66847.70556432531,81840.4166224573,0,0.0
2023-07-31 00:00:00+00:00,1,0,0,1230230722,0.0,0.0,0.0,762118,0.27601158618927,90.9468231201172,16493,0.0,0.0,15679.0,797890.0,90.944580078125,0.2536705434322357,0.0,0.0,15534.0,749106.0,90.93138885498048,0.2638730406761169,0.0,0.0,15696.285714285714,769289.4285714285,90.93901715959821,0.26335638761520386,0.0,0.0,15777.733333333334,770068.5666666667,90.91544011433919,0.27712472279866535,0.0,0.0,0.0,6.173554783056523,5.191657631226487,1.7370038419128875,-4.483324769078445,4.6001461468177185,8.807109589766915,0.016973528427377538,0.0024663833625648834,0.0,0.0,0.0,0.0,0.02164097732768767,0.0,0.002661023821156964,0.002074114128003454,1.0002593293859587,0.0,0.950317189154342,0.0,0.0,1091.253015050584,1150.6248357496015,66616.56023438893,75383.37115117312,0,0.0
2023-08-01 00:00:00+00:00,1,0,0,1230230722,0.0,0.0,0.0,721244,0.2695220112800598,90.9476318359375,15571,0.0,0.0,16493.0,762118.0,90.9468231201172,0.27601158618927,0.0,0.0,15294.0,737437.0,90.93189239501952,0.2663103342056274,0.0,0.0,15735.857142857143,766976.1428571428,90.94126565115792,0.2638151986258371,0.0,0.0,15716.9,763123.9,90.91741002400717,0.2757023096084595,0.0,0.0,0.0,1.8111677782136848,-5.5902504092645415,-2.195848594524008,-5.3632114711895,1.2059904036441083,-2.3511965562054704,0.017309043618718434,0.0008892183284148203,0.0,0.0,0.0,0.0,0.021589057809759515,0.0,0.002566201346258956,0.002096247010025552,1.0002623878874735,0.0,0.9568842531660182,0.0,0.0,981.1707656817034,1109.6305489542635,67295.05236900125,69552.44603217072,0,0.0
2023-08-02 00:00:00+00:00,1,0,0,1230230722,0.0,0.0,0.0,747748,0.2532140612602234,90.9467544555664,14567,0.0,0.0,15571.0,721244.0,90.9476318359375,0.2695220112800598,0.0,0.0,14598.0,696871.0,90.93283081054688,0.2475884854793548,0.0,0.0,15731.42857142857,774244.2857142857,90.94325474330357,0.26461885230881826,0.0,0.0,15629.0,760808.1666666666,90.9193239847819,0.27339798609415683,0.0,0.0,0.0,-0.2123578572407192,-6.44788388671248,7.300777331816066,3.674761939094129,2.2721475798751056,-6.050693204011037,0.015312010959545042,-0.0009647094194598083,0.0,0.0,0.0,0.0,0.019481136049663724,0.0,0.0019493103027339014,0.002091949428945444,1.0002632087159566,0.0,0.9678888132617222,0.0,0.0,1013.6353599085779,1092.0737943994118,66233.00274090984,68842.12106826423,0,0.0
2023-08-03 00:00:00+00:00,1,0,0,1230230722,0.0,0.0,0.0,670614,0.2442667037248611,90.94807434082033,13760,0.0,0.0,14567.0,747748.0,90.9467544555664,0.2532140612602234,0.0,0.0,14132.0,687540.0,90.9353485107422,0.2377997636795044,0.0,0.0,15678.285714285714,771826.2857142857,90.94507271902901,0.2655427008867264,0.0,0.0,15586.766666666666,758408.3666666667,90.9212542215983,0.27193297495444607,0.0,0.0,0.0,-2.6323238041324637,-5.5399189949886685,-2.46182040317654,-10.315507363443299,2.7194896854786377,-3.533515275902177,0.013994371041126108,0.0014512725185378272,0.0,0.0,0.0,0.0,0.020518479306308388,0.0,0.0013362339564814934,0.002076354573117441,1.0002619684212963,0.0,0.9765005547091514,0.0,0.0,1067.9269972373677,1139.621494433504,60529.8151144676,70727.466691897,0,0.0
2023-08-04 00:00:00+00:00,1,0,0,1230230722,0.0,0.0,0.0,727407,0.2259220331907272,90.94880676269533,12815,0.0,0.0,13760.0,670614.0,90.94807434082033,0.2442667037248611,0.0,0.0,17948.0,833411.0,90.94007873535156,0.3024824261665344,0.0,0.0,14945.0,756682.8571428572,90.94631958007812,0.25460550189018244,0.0,0.0,15507.466666666667,759535.9,90.923179880778,0.26993291179339085,0.0,0.0,0.0,-28.599286828616,-6.867732558139538,-12.71929456174684,8.46880619849868,-25.310691251086503,-7.510098697199885,0.00959755859588629,0.0008053187275258722,0.0,0.0,0.0,0.0,0.017617348173239778,0.0,0.0010228838239436792,0.0020457181835073705,1.0002544972506513,0.0,0.943217706201976,0.0,0.0,1231.5068586317313,1245.7257608577086,61284.9426528408,69923.41108588445,0,0.0
2023-08-05 00:00:00+00:00,1,1,0,1230230722,0.0,0.0,0.0,723963,0.2165912538766861,90.94876098632812,13443,0.0,0.0,12815.0,727407.0,90.94880676269533,0.2259220331907272,0.0,0.0,15730.0,869759.0,90.94156646728516,0.2596315741539001,0.0,0.0,14618.285714285714,735854.8571428572,90.94734736851284,0.2484568847077233,0.0,0.0,15445.233333333334,759708.9666666667,90.9250503540039,0.26767637282609935,0.0,0.0,0.0,-14.539097266369993,4.900507218103778,-16.762804409037447,-0.4734625869698861,-16.577459970912965,-4.130088235424079,0.007911144839978235,-5.03320151556963e-05,0.0,0.0,0.0,0.0,0.018568602858705683,0.0,0.0006054469517383978,0.0020001845312094613,1.000245224109551,0.0,0.9281987875304096,0.0,0.0,1313.9742667290814,1301.3254167309728,57639.364714466894,69825.39176006468,0,0.0
2023-08-06 00:00:00+00:00,1,1,0,1230230722,0.0,0.0,0.0,700545,0.2167997658252716,90.94988250732422,13664,0.0,0.0,13443.0,723963.0,90.94876098632812,0.2165912538766861,0.0,0.0,15679.0,797890.0,90.944580078125,0.2536705434322357,0.0,0.0,14330.42857142857,721948.4285714285,90.94810485839844,0.2431896307638713,0.0,0.0,15331.933333333332,756025.6333333333,90.92692591349284,0.26450330863396326,0.0,0.0,0.0,-12.851584922507808,1.6439782786580315,-12.20030329995363,-3.234695695774503,-14.534907012888388,0.09626979153287696,0.0058303960441152825,0.001233134991540652,0.0,0.0,0.0,0.0,0.019504786266711965,0.0,0.000481741768981701,0.0019436014109661195,1.000232922698011,0.0,0.9194199952349662,0.0,0.0,1364.1634154952544,1303.5826477597793,56156.33658853242,69938.38495146214,0,0.0
2023-08-07 00:00:00+00:00,1,0,0,1230230722,0.0,0.0,0.0,615950,0.2172568440437317,90.95113372802734,12726,0.0,0.0,13664.0,700545.0,90.94988250732422,0.2167997658252716,0.0,0.0,16493.0,762118.0,90.9468231201172,0.27601158618927,0.0,0.0,13792.285714285714,701067.2857142857,90.94872065952846,0.23479609617165154,0.0,0.0,15242.733333333334,746735.8,90.9287473042806,0.26272988071044284,0.0,0.0,0.0,-22.83999272418602,-6.86475409836066,-19.17918222637439,-12.075598284193024,-21.287056444524875,0.21082966428500605,0.004739701467570967,0.0013757254749835468,0.0,0.0,0.0,0.0,0.020660734376598138,0.0,0.0006231580461778968,0.0018898918313106558,1.0002196594128918,0.0,0.8936786921104821,0.0,0.0,1472.9686627075737,1387.4782864616209,65799.12990849464,69398.09625153455,0,0.0
