timestamp,isSummer,isWeekend,isHoliday,universe_id,session_session_length,visits_visits_gained,sort_sort_position,daily_Estimated Revenue,ccu_playing,ratings_like_ratio,daily_rpv,platform_platform_share,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-01-23 00:00:00+00:00,0,0,0,6837227715,23.23118321100871,1011211.0,36,2665025.0,13591.0,96.46688842773438,0.1342463214811988,0.1924186050891876,2545076.0,14939.0,982398.0,96.45664978027344,0.2087081670761108,22.84186220169067,0.0,0.0,0.0,0.0,0.0,0.0,2494829.0,14133.857142857143,1063051.857142857,96.48485020228794,0.1851829907723835,22.46967004140218,2494829.0,14133.857142857143,1063051.857142857,96.48485020228794,0.1851829907723835,22.46967004140218,0.0,4.712983030762152,0.0,-9.02336167079456,0.0,2.9329253520467224,0.0,-7.80494707760181,0.0,0.010614765787808622,0.31273164169961615,0.31273164169961615,196.07305768098882,2.6354760426102537,0.013440307274834555,8.717056873369607e-06,-0.01828902108328277,0.0,1.0,1.0,1.0,780211.9689298116,780211.9689298116,1446.1736212699852,1446.1736212699852,134478.74763127515,134478.74763127515,2,0.8285720681493356
2025-01-24 00:00:00+00:00,0,0,0,6837227715,23.83469533920288,1172130.0,37,3158491.0,21666.0,96.49534606933594,0.1509981239310992,0.2631958425045013,2665025.0,13591.0,1011211.0,96.46688842773438,0.1924186050891876,23.23118321100871,860628.0,16243.0,1026733.0,96.58940887451172,0.2047703266143798,21.596067714691163,2823095.1428571427,14908.57142857143,1083822.857142857,96.4714126586914,0.19352949304240083,22.789473987760996,2577786.75,15075.375,1076686.625,96.48616218566895,0.19493459723889822,22.640298203627268,266.99840116751955,18.516374142831673,33.38668965092655,59.41431829887425,14.161130498386632,15.913493820775294,28.53221795174821,36.78294902018848,-0.09738418142509753,0.0294999062013801,0.29462872399419177,0.29462872399419177,145.7742650113075,2.6946569965302514,0.018484282046972566,7.546226281150271e-06,-0.002227510724746777,0.0,0.9998471332402137,1.095162407385771,0.9927919198726156,759490.0208816346,759490.0208816346,2980.652801820434,2980.652801820434,130339.11126632876,130339.11126632876,2,0.9819935723308648
2025-01-25 00:00:00+00:00,0,1,0,6837227715,25.421549558639526,1608734.0,37,4744941.0,23296.0,96.52294158935548,0.2123282404436676,0.2659858167171478,3158491.0,21666.0,1172130.0,96.49534606933594,0.2631958425045013,23.83469533920288,3216407.0,15213.0,1272131.0,96.510009765625,0.1765385568141937,21.878729343414307,3041457.1428571427,16063.285714285714,1131909.0,96.47326006208148,0.20630767302853714,23.295591161364598,2818581.6666666665,15988.777777777777,1135803.0,96.49024878607855,0.20282917718092597,22.949326131961964,47.52302802474935,50.228099431025775,53.13218957470585,7.523308409489515,26.459774976004823,37.24876933445949,50.667265846688146,1.060037341812814,0.013399463705265902,0.028597772994887194,0.35946937956452546,0.35946937956452546,203.67176031248658,2.9494857760911524,0.014480943101256577,5.357610179142237e-06,0.008807318551203156,0.0,0.9998239332553206,1.0790736272878887,1.0171498790063538,1013193.8029686128,1013193.8029686128,3909.2833671204307,3909.2833671204307,215214.91717176576,215214.91717176576,3,1.0
2025-01-26 00:00:00+00:00,0,1,0,6837227715,24.326650698979694,1640653.0,37,4565475.0,20346.0,96.52559661865234,0.1904427048680338,0.2450713366270065,4744941.0,23296.0,1608734.0,96.52294158935548,0.2659858167171478,25.421549558639526,3108076.0,13238.0,1208096.0,96.48802947998048,0.1677643209695816,22.13311529159546,3249657.0,17078.714285714286,1193702.857142857,96.47862679617745,0.21735153240816926,23.60895336241949,2993271.0,16424.5,1186288.0,96.49378356933593,0.207053393125534,23.087058588663737,46.89071309710573,-3.782259884790984,53.693911466988965,-12.663118131868135,35.80485325669483,1.9841067572389237,46.08072515695512,-7.863005760334207,0.038934507082721836,0.002750671760654022,0.3686527686200465,0.3686527686200465,224.38074409003784,2.7827165264583513,0.012401152223442603,5.3283930742335945e-06,0.01652472359793855,0.0,0.9998429248745585,1.0856541221960858,1.0497366361747649,1103477.6413800952,1103477.6413800952,3934.8417799618505,3934.8417799618505,258182.93575507874,258182.93575507874,3,0.9621774011520902
2025-01-27 00:00:00+00:00,0,0,0,6837227715,23.534146706263225,1329861.0,37,3657108.0,18267.0,96.5365219116211,0.1435651930900585,0.2503224611282348,4565475.0,20346.0,1640653.0,96.52559661865234,0.2450713366270065,24.326650698979694,2693069.0,13838.0,1060046.0,96.43274688720705,0.1763685494661331,22.40110508600871,3387376.8571428573,17711.428571428572,1232247.857142857,96.49345179966518,0.2279163769313267,23.77081645102728,3053619.8181818184,16592.0,1199340.0909090908,96.49766887318005,0.2109869447621432,23.127702962990963,35.79704047686858,-19.896440129449832,32.00607024136435,-10.2182247124742,25.453140712761524,-18.94318908385868,41.931462205682315,2.142692235453225,0.10761388404234573,0.011318544874594494,0.34903280443370005,0.34903280443370005,200.19202977884825,2.7499906005284758,0.013736011706477815,6.435177815663472e-06,0.016173498971120685,0.0,0.9999562987006411,1.1092988187245143,1.080239240339107,1065813.4888143253,1065813.4888143253,3774.0297561095103,3774.0297561095103,248729.79984652202,248729.79984652202,3,0.7707383505927682
2025-01-28 00:00:00+00:00,0,0,0,6837227715,23.012804746627808,1252542.0,37,3373922.0,16459.0,96.52762603759766,0.1260405595833576,0.2311104536056518,3657108.0,18267.0,1329861.0,96.5365219116211,0.2503224611282348,23.534146706263225,2375522.0,11875.0,880748.0,96.4502182006836,0.169712409377098,23.20562744140625,3530005.4285714286,18366.285714285714,1285361.2857142857,96.50451006208148,0.23668752610683438,23.743270351773216,3080311.6666666665,16580.916666666668,1203773.5833333333,96.50016530354817,0.21266390383243558,23.118128111627367,42.02865728037879,-7.743440992171957,38.6021052631579,-9.897629605299175,42.213436760571696,-5.814066282115194,36.17769876339945,-7.674903576767367,0.08025677739058601,-0.009215034732223959,0.33126879865192765,0.33126879865192765,204.97703523693804,2.6936576229319074,0.013140467033866302,6.820785402224001e-06,0.013658796037941165,0.0,1.0000450233273657,1.145989695384102,1.1129652086765405,1020411.1452901836,1020411.1452901836,3598.6010023677854,3598.6010023677854,237651.33096177163,237651.33096177163,3,0.7110566812105777
2025-01-29 00:00:00+00:00,0,0,0,6837227715,23.302690505981445,1122221.0,37,3031051.0,15283.0,96.54071807861328,0.1083942888338758,0.2269511967897415,3373922.0,16459.0,1252542.0,96.52762603759766,0.2311104536056518,23.012804746627808,2545076.0,14939.0,982398.0,96.45664978027344,0.2087081670761108,22.84186220169067,3599430.4285714286,18415.428571428572,1305336.0,96.51651981898716,0.23929367320878162,23.809102966671897,3076522.3846153845,16481.076923076922,1197500.3076923077,96.50328474778395,0.21376292636761296,23.132325218885374,19.09471465685111,-10.162386682324009,2.3026976370573715,-7.145027036879514,14.232826206893744,-10.404521365351426,8.740927568482682,-1.799683550016884,0.08715656051847542,0.01356299906363212,0.3175874237775468,0.3175874237775468,198.31529704265898,2.700937069492489,0.013618517548221297,7.687987703932973e-06,0.010701043265204102,0.0,1.0001371463286228,1.1699672482706205,1.1194348677528059,977064.8183239549,977064.8183239549,3464.152432691593,3464.152432691593,228655.29518629296,228655.29518629296,3,0.6387963517354589
2025-01-30 00:00:00+00:00,0,0,0,6837227715,22.779850165049236,1111143.0,37,2936547.0,15690.0,96.5364227294922,0.1010903360927649,0.2331714332103729,3031051.0,15283.0,1122221.0,96.54071807861328,0.2269511967897415,23.302690505981445,2665025.0,13591.0,1011211.0,96.46688842773438,0.1924186050891876,23.23118321100871,3638219.285714286,18715.285714285714,1319612.0,96.52645329066685,0.24511550579752234,23.74462681724912,3066524.1428571427,16424.571428571428,1191331.9285714286,96.5056517464774,0.21514924828495294,23.10714842932565,10.188347201245772,-3.117862418019357,15.444043852549472,2.6630897075181625,9.882408320320879,-0.9871495899648974,21.179255562265432,2.7407815021985193,0.07208100405344808,-0.00444926162407322,0.3063659690520728,0.3063659690520728,187.14849276655409,2.642814072703448,0.01412058203077189,7.757356653134645e-06,0.00574329921177249,0.0,1.000215547419379,1.1864309936019233,1.1392812559255647,939478.6406480054,939478.6406480054,3334.958510047204,3334.958510047204,220893.95788284554,220893.95788284554,3,0.6188795603570203
2025-01-31 00:00:00+00:00,0,0,0,6837227715,22.03949459393819,1219792.0,37,3116936.0,17008.0,96.53191375732422,0.1031654445287212,0.2149045318365097,2936547.0,15690.0,1111143.0,96.5364227294922,0.2331714332103729,22.779850165049236,3158491.0,21666.0,1172130.0,96.49534606933594,0.2631958425045013,23.83469533920288,3632282.8571428573,18049.85714285714,1326420.857142857,96.53167724609375,0.2382167471306664,23.48816956792559,3069884.933333333,16463.466666666667,1193229.2666666666,96.50740254720053,0.21513293385505675,23.035971506966483,-1.3156599148137493,6.142895039650309,-21.499123049939996,8.40025493945189,4.066272512434632,9.77812936768714,-18.348052236868327,-7.834107773134602,0.037895804800780475,-0.004670747103008299,0.21476918087204966,0.2949289169242885,183.25216062084777,2.555299136820756,0.01394334940436615,7.070882277677794e-06,0.0018844604492255278,0.0,1.0002515319887648,1.1831983725848847,1.107300229964614,693208.1226397251,905397.8384701916,3338.0204446664184,3217.175155466731,215795.26029187843,212985.54703931927,3,0.6568966821716012
2025-02-01 00:00:00+00:00,0,1,0,6837227715,22.729207754135132,1309183.0,37,3388647.0,16860.0,96.53948974609376,0.1075992889040635,0.2016689032316208,3116936.0,17008.0,1219792.0,96.53191375732422,0.2149045318365097,22.03949459393819,4744941.0,23296.0,1608734.0,96.52294158935548,0.2659858167171478,25.421549558639526,3438526.5714285714,17130.428571428572,1283627.857142857,96.53404126848496,0.22902861663273397,23.103549310139247,3089807.5625,16488.25,1200476.375,96.50940799713135,0.214291431941092,23.016798772414525,-28.584001360607015,8.717246680714652,-27.627060439560434,-0.8701787394167493,-18.62029397028968,7.32838057636056,-24.180580107368034,-6.1588410871474935,0.01714427312906608,0.007848170076263372,0.21435846551467036,0.28426367982969075,200.97544629618648,2.588365730103637,0.012878250879937426,6.707456116461531e-06,0.001473563058040555,0.0,1.0002552421765383,1.1128610769035787,1.068771693567726,694519.68277717,878320.0676818573,3318.9304082708722,3109.6670239753976,216904.6515441624,207795.53162885061,3,0.7141599863939299
