timestamp,isSummer,isWeekend,isHoliday,universe_id,daily_rpv,ratings_like_ratio,platform_platform_share,ccu_playing,sort_sort_position,daily_Estimated Revenue,visits_visits_gained,session_session_length,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-08-22 00:00:00+00:00,1,0,0,7922860790,0.0887401853678663,94.9402847290039,0.0105818295851349,1485,261,200466,175952,18.159526069959004,193166.0,1383.0,143223.0,94.9336166381836,0.0113845951855182,19.6305646498998,165157.0,1160.0,96738.0,94.6309585571289,0.0084180254489183,25.35889979203542,183962.57142857142,1311.7142857142858,142505.7142857143,94.8292465209961,0.009867199829646471,19.95865267231351,171373.08333333334,1249.4166666666667,118678.91666666667,94.73037465413411,0.009522046738614592,21.771775378121273,21.379051448016128,3.7791329737117296,28.01724137931034,7.375271149674623,81.88509169095907,22.85177660012707,25.70441428749357,-7.051331973616948,0.3268762956556648,0.007023951110718407,0.10667047543585285,0.10667047543585285,134.90309555854643,1.1393156126920256,0.008439753797889209,9.058611177879153e-05,0.047078813825334055,0.04015745149625945,1.0010437187356533,1.0734624589250727,1.0362477837492843,18280.448276074698,18280.448276074698,189.87481920912253,189.87481920912253,38355.15913966189,38355.15913966189,11,1.0
2025-08-23 00:00:00+00:00,1,1,0,7922860790,0.0820242773655338,94.9971694946289,0.0112920878455042,1749,259,201068,170862,16.457086245218914,200466.0,1485.0,175952.0,94.9402847290039,0.0105818295851349,18.159526069959004,171679.0,1011.0,108379.0,94.6832504272461,0.0071331025101244,19.834168752034504,188161.0,1417.142857142857,151431.85714285713,94.87409210205078,0.010461340591843586,19.476212314196996,173657.3076923077,1287.8461538461538,122693.0,94.75089733417218,0.00965820374683687,21.36295313712878,17.118575946970793,0.30030030030030463,72.99703264094954,17.777777777777782,57.652312717408364,-2.8928344093843816,58.30541940868965,6.712055364859171,0.3315465681271945,0.05991636299318426,0.11138679913876265,0.11138679913876265,114.896,1.1767790569052399,0.010236271164617266,8.184795391243262e-05,0.04421397617884825,0.04034771762051649,1.0013001963183958,1.0835190439171756,1.0831559227842702,19343.131650901378,19343.131650901378,228.57560607446212,228.57560607446212,39471.41106759002,39471.41106759002,12,1.0
2025-08-24 00:00:00+00:00,1,1,0,7922860790,0.0766717978102906,95.05489349365234,0.0150603353977203,2238,255,202635,242906,18.077556530634563,201068.0,1749.0,170862.0,94.9971694946289,0.0112920878455042,16.457086245218914,178688.0,1062.0,116754.0,94.73123931884766,0.0070433025248348,21.99069853623708,191582.0,1585.142857142857,169453.57142857142,94.92032841273716,0.011606631002255799,18.917192027682347,175727.14285714287,1355.7142857142858,131279.64285714287,94.77261134556362,0.010044070293328542,21.128281950950623,13.401571454154727,0.7793383333001724,110.73446327683615,27.95883361921099,108.04940301831198,42.16502206459014,113.82491160385788,33.3706893160274,0.3416551679592539,0.060763914683481524,0.11457204154983783,0.11457204154983783,90.502456453774,0.8342081537378503,0.00921340266027739,8.921196890303087e-05,0.04317801339285799,0.04096377865298727,1.0015586472196585,1.0902242925314407,1.1555704672800964,20133.41751286286,20133.41751286286,335.72755176033587,335.72755176033587,49702.845276251,49702.845276251,13,1.0
2025-08-25 00:00:00+00:00,1,0,0,7922860790,0.0701127240598425,95.06907653808594,0.0156224397942423,2043,246,202196,209528,17.64915160338084,202635.0,2238.0,242906.0,95.05489349365234,0.0150603353977203,18.077556530634563,182509.0,1186.0,154911.0,94.7620086669922,0.0094041973352432,17.08389087518056,194394.42857142858,1707.5714285714287,177256.0,94.96419525146484,0.012494951353541386,18.997943560282387,177491.73333333334,1401.5333333333333,136496.2,94.79237569173178,0.010415961593389459,20.896339927779305,10.78686530527262,-0.21664569299479908,72.25969645868466,-8.713136729222516,35.25701854613295,-13.741117963327376,66.12199039779392,3.732349789547751,0.32404111670196745,0.014920898769443802,0.10577759969593599,0.11589031121445384,98.92172211350294,0.9650024578936567,0.009750440273184141,8.728691129631418e-05,0.03649820600236979,0.04069469996860779,1.0018125883909887,1.0952308872118095,1.1995965270716213,19029.193741185165,20569.57221399285,368.74447658370286,368.98894034271285,45679.53789964689,51981.77231381897,13,0.997833543070052
2025-08-26 00:00:00+00:00,1,0,0,7922860790,0.0695512606595124,95.10244750976562,0.0164284277707338,2018,228,214569,205874,18.419130603472393,202196.0,2043.0,209528.0,95.06907653808594,0.0156224397942423,17.64915160338084,173605.0,1572.0,164659.0,94.84996795654295,0.0122283576056361,18.74683431784312,200246.42857142858,1771.2857142857142,183143.85714285713,95.00026375906808,0.013094961377126773,18.951128743943716,179809.0625,1440.0625,140832.3125,94.81175518035889,0.010791740729473481,20.74151434501012,23.596094582529314,6.119309976458487,28.37150127226462,-1.2236906510034284,25.030517615192615,-1.7439196670612,34.34696874715104,5.159168395633995,0.26618833792158014,0.0351018153272209,0.09856613781706233,0.12194945298553093,106.27488855869242,1.0422295081967212,0.009802064359441408,8.58420590179074e-05,0.03499276297433009,0.04035310184254511,1.001988240575766,1.1136614906238587,1.2134243867963703,18224.15371721803,21927.616813716144,389.9709766602671,388.3657157456959,46462.641913739666,53129.975423444674,14,1.0
2025-08-27 00:00:00+00:00,1,0,0,7922860790,0.0653628552426196,95.15643310546876,0.0105705000460147,1261,227,215088,169947,30.178719639778137,214569.0,2018.0,205874.0,95.10244750976562,0.0164284277707338,18.419130603472393,187625.0,1483.0,133662.0,94.90435791015624,0.0112950140610337,24.264885505040485,204169.7142857143,1739.5714285714287,188327.42857142858,95.03627450125558,0.0129914593749812,19.79596219176338,181884.29411764705,1429.5294117647059,142544.9411764706,94.83203035242417,0.010778726571622965,21.296644068231767,14.637175216522325,0.2418802343302051,-14.969656102494945,-37.512388503468785,27.146833056515685,-17.450965153443367,-6.414458725806071,-35.65726316887502,0.2656097157847759,0.05676572697836946,0.09359062790021859,0.12585271836928,170.43423137876385,1.2656106573775507,0.007419916680396357,0.00014030805684985348,0.03802435738699987,0.04038597555721462,1.0021537464511978,1.1225252585781405,1.205287033552152,17706.130120558653,22890.632843383526,386.0889907666479,378.5330430832721,43953.918784961,51925.256804216435,15,1.0
2025-08-28 00:00:00+00:00,1,0,0,7922860790,0.0636072311491503,95.17168426513672,0.0094140507280826,1116,227,216668,72886,33.389771143595375,215088.0,1261.0,169947.0,95.15643310546876,0.0105705000460147,30.178719639778137,193166.0,1383.0,143223.0,94.9336166381836,0.0113845951855182,19.6305646498998,207527.14285714287,1701.4285714285713,178279.2857142857,95.07028416224888,0.012709953023918972,21.76156311943418,183816.72222222222,1412.111111111111,138675.0,94.85090001424153,0.010702911246981833,21.968484461307526,12.166737417557961,0.7345830543777465,-19.305856832971802,-11.498810467882636,-49.110128959734126,-57.112511547717816,-17.308867160619258,-10.940346368647969,0.2507727350791411,0.016027460435652507,0.08802360839102674,0.1287818372853459,193.97314234556848,2.9726563035932334,0.01531137239837008,0.00015410497645530915,0.03786713736398411,0.03996808314839735,1.0023129369144037,1.1289894648771743,1.187522976751126,17008.16682193756,23672.255211547847,395.6557569680719,374.5927810756461,46955.54501474635,52983.076536702916,16,1.0
2025-08-29 00:00:00+00:00,1,0,0,7922860790,0.062204252867719,95.1996078491211,0.0073642893694341,988,228,216138,67987,31.005252361297607,216668.0,1116.0,72886.0,95.17168426513672,0.0094140507280826,33.389771143595375,200466.0,1485.0,175952.0,94.9402847290039,0.0105818295851349,18.159526069959004,209766.0,1630.4285714285713,162855.7142857143,95.10733032226562,0.012250304421676,23.596666875339686,185517.84210526315,1389.7894736842106,134954.57894736843,94.86925305818257,0.010527194306058267,22.4441038244649,7.817784561970598,-0.24461387929920475,-33.46801346801347,-11.46953405017921,-61.36048467763935,-6.721455423538125,-30.406275113527848,-21.77342589130049,0.27314339835549095,0.029340222567242336,0.08108333384977753,0.13028810761452883,218.54196157735086,3.1790610107666057,0.014531976231099605,0.00014345052193864879,0.03315189906529359,0.039478783858450196,1.0025095302894085,1.1307052605806962,1.1636818002519536,15962.412601669417,24170.76857662569,408.91704336166805,376.81701703543774,50203.573227761066,53983.697646517736,16,0.997553861207008
2025-08-30 00:00:00+00:00,1,1,0,7922860790,0.0527833035392188,95.23899841308594,0.0063583543524146,919,228,186919,60514,37.49435885747274,216138.0,988.0,67987.0,95.1996078491211,0.0073642893694341,31.005252361297607,201068.0,1749.0,170862.0,94.9971694946289,0.0112920878455042,16.457086245218914,207744.7142857143,1511.857142857143,147091.7142857143,95.14187731061664,0.01154548535123463,26.601991534233093,185587.9,1366.25,131232.55,94.88774032592774,0.010318752308376086,23.19661657611529,-7.0369228320767085,-13.518677881723718,-47.455688965122924,-6.983805668016196,-64.58311385796725,-10.99180725726977,-43.69195104210868,-13.659634576483237,0.25456434096249314,0.04137681326090714,0.0736126983292196,0.12677650168664634,203.17282608695652,3.088804428654053,0.01518631744195654,0.00020059040689852738,0.03152193341936649,0.03912103409157496,1.002678291039664,1.1193871706383567,1.1188838539968404,14571.843956264245,23528.18471737115,417.52784338292935,381.57566332525096,54865.98936735074,55117.40713334249,16,0.8626977680137353
2025-08-31 00:00:00+00:00,1,1,0,7922860790,0.05987160070689,95.23384857177734,0.0059438794851303,754,232,215670,56182,30.753417412439983,186919.0,919.0,60514.0,95.23899841308594,0.0063583543524146,37.49435885747274,202635.0,2238.0,242906.0,95.05489349365234,0.0150603353977203,18.077556530634563,209606.85714285713,1299.857142857143,120416.85714285714,95.16744232177734,0.010243134506578915,28.412828803062443,187020.38095238095,1337.095238095238,127658.71428571429,94.9042216709682,0.010110425031078667,23.556464234987896,6.432748538011701,15.38152889754385,-66.30920464700625,-17.95429815016322,-76.87088832717183,-7.158674025845258,-60.532887693656335,-6.5185871109385785,0.18826498199899788,-0.005407282094938015,0.07057531710204566,0.1275448413046274,285.65562913907286,3.838705658295214,0.013420429667337095,0.0001425941244415799,0.028949737548825134,0.038281259908306296,1.0027735399561226,1.1207701325142052,1.01312600361432,14157.01540533222,23853.484809302387,447.412346378939,395.1834896300584,59793.6319945895,56162.71429172817,16,0.9953938744992339
2025-09-01 00:00:00+00:00,0,0,1,7922860790,0.05649586684343,95.23770904541016,0.00950070284307,1096,246,206712,72462,30.889661471048992,215670.0,754.0,56182.0,95.23384857177734,0.0059438794851303,30.753417412439983,202196.0,2043.0,209528.0,95.06907653808594,0.0156224397942423,17.64915160338084,210252.0,1164.5714285714287,100836.0,95.19153267996651,0.009368600656411442,30.30433021272932,187915.45454545456,1326.1363636363637,125149.77272727272,94.91938018798828,0.010082710386169182,23.88979138208158,2.2334764288116427,-4.153567951036308,-46.35340186000979,45.3580901856764,-65.41655530525753,28.977252500800965,-39.18553716192579,59.840098824980295,0.17737892642373243,0.004053678067950095,0.06536953266007328,0.12587663029981092,188.43391066545124,2.8526558381518843,0.015124960324579441,0.00014943260206687044,0.022426060267850052,0.03724244783855054,1.0028671962610716,1.1188648666953707,0.9291748247834918,13225.773964141006,23654.164199439107,452.00433358809465,389.0699894748459,62724.00485889324,56058.303607287664,16,0.9540495135414552
2025-09-02 00:00:00+00:00,0,0,0,7922860790,0.0513452778445738,95.24258422851562,0.0086188884451985,1008,283,192782,93638,23.39864921569824,206712.0,1096.0,72462.0,95.23770904541016,0.00950070284307,30.889661471048992,214569.0,2018.0,205874.0,95.10244750976562,0.0164284277707338,18.419130603472393,207139.57142857142,1020.2857142857143,84802.28571428571,95.21155221121651,0.008252952181334972,31.01569001447587,188127.04347826086,1312.304347826087,123779.69565217392,94.93343253757642,0.010019065953953065,23.86843737484752,-10.153843285842779,-6.738844382522546,-50.04955401387512,-8.029197080291972,-54.5168403975247,29.22359305567055,-47.5367420091623,-9.281570136831652,0.14735343034741888,0.00511896301824688,0.05298047502990942,0.12296257114669316,191.06243805748267,2.0587789275835924,0.01076474545862301,0.00012137299043846314,0.015169416155126595,0.03610022925576684,1.0029296283322529,1.1010621737246806,0.8237247083974665,10791.75190026734,23132.58496831269,463.93387767778165,385.8694356176367,63361.89491079645,55162.165777933835,16,0.8897576014916831
2025-09-03 00:00:00+00:00,0,0,0,7922860790,0.047228438949641,95.28240203857422,0.0079968050122261,895,303,180889,59244,33.645637114842735,192782.0,1008.0,93638.0,95.24258422851562,0.0086188884451985,23.39864921569824,215088.0,1261.0,169947.0,95.15643310546876,0.0105705000460147,30.178719639778137,202254.0,968.0,68987.57142857143,95.22954777308873,0.007885281462222313,31.510963939485098,187825.45833333334,1294.9166666666667,121090.70833333333,94.94797293345134,0.009934805081381108,24.275820697347324,-15.900003719407874,-6.169144422197093,-29.024583663758918,-11.210317460317466,-65.13972003036241,-36.73081441295201,-24.34790239425748,-7.217675886256036,0.13238089007165943,0.04180673002640578,0.057462609105993066,0.12070943823449654,201.88504464285714,3.0532365600472615,0.015106760064140435,0.0001860005368723685,0.01488631112234886,0.03525789675505092,1.0029655697845676,1.0768188817144284,0.7937026844140282,11677.083512702904,22672.305561553505,481.70645044010405,386.88172742388946,66436.92763904261,55534.68954233387,16,0.8348671700481843
2025-09-04 00:00:00+00:00,0,0,0,7922860790,0.0464997728555775,95.29991149902344,0.0072037633508443,820,303,180570,51482,54.08195590972901,180889.0,895.0,59244.0,95.28240203857422,0.0079968050122261,33.645637114842735,216668.0,1116.0,72886.0,95.17168426513672,0.0094140507280826,33.389771143595375,197097.14285714287,925.7142857142857,65929.85714285714,95.24786594935826,0.007569526122616842,34.46699033464704,187535.24,1275.92,118306.36,94.96205047607423,0.009825563412159635,25.468066105842592,-16.660512858382415,-0.17635124302749494,-26.523297491039422,-8.37988826815642,-29.366407814943884,-13.101748700290328,-23.478600669156137,-9.91698134654202,0.13473254663591838,0.018376384384310995,0.06390531271662146,0.11860344522254944,219.93909866017052,3.507371365305052,0.015927587747411768,0.00029950521351561994,0.01415906633649307,0.03443834158090422,1.0030097862446226,1.0509872323577312,0.7703910508835725,12928.82075565551,22242.32556463766,502.14673220020137,390.4647786079217,69350.27113996608,56119.625750029154,16,0.8333948714161759
2025-09-05 00:00:00+00:00,0,0,0,7922860790,0.0481050536396404,95.2999038696289,0.0057165212929248,729,288,189422,48785,47.58235384070355,180570.0,820.0,51482.0,95.29991149902344,0.0072037633508443,54.08195590972901,216138.0,988.0,67987.0,95.1996078491211,0.0073642893694341,31.005252361297607,193280.57142857142,888.7142857142857,63186.71428571428,95.26219395228794,0.007334130683115514,36.83514768884789,187607.8076923077,1254.8846153846155,115632.46153846153,94.97504483736478,0.009667523330650603,26.318615634106475,-12.360621454811282,4.902253973528281,-26.214574898785425,-11.097560975609754,-28.24363481253769,-5.238724214288492,-22.375113114762357,-20.645348625245873,0.10535339669337507,-8.005668017396772e-06,0.06639039656923343,0.1161789624142234,259.4821917808219,3.882712253515353,0.014942811462304759,0.00025119628472098716,0.012840543474468951,0.033499495025374006,1.003023416471294,1.0302373542233783,0.7586359434854286,13379.210856506363,21796.080438499466,522.5293093414754,397.3272028867972,70079.12676525954,56650.939587075365,16,0.8742500046153562
2025-09-06 00:00:00+00:00,0,1,0,7922860790,0.0612784539190615,95.32044982910156,0.0057072257623076,836,288,244359,54040,59.16179358440897,189422.0,729.0,48785.0,95.2999038696289,0.0057165212929248,47.58235384070355,186919.0,919.0,60514.0,95.23899841308594,0.0063583543524146,37.49435885747274,201486.2857142857,876.8571428571429,62261.857142857145,95.27382986886161,0.007241112313100228,39.930495506981636,189709.7037037037,1239.3703703703704,113351.25925925926,94.98783761483652,0.009520845642934195,27.535029632265825,30.729888347359015,29.00243899863797,-9.031556039173017,14.677640603566534,-10.698350794857392,10.771753612790814,-10.240520644460982,-0.16260816921482846,0.08552317577128488,0.02155926568485622,0.0860255485588559,0.12651812133600568,291.9462365591398,4.521733498639922,0.015469735941229808,0.00024210915691769917,0.01576859610421364,0.03265157287373947,1.0030108302410752,1.062076856273916,0.7605534828173746,17602.16063114458,24001.715311802873,513.645433999108,397.8639261150773,69615.70690272369,56801.391626094606,17,1.0
