timestamp,isSummer,isWeekend,isHoliday,universe_id,platform_platform_share,ccu_playing,ratings_like_ratio,session_session_length,visits_visits_gained,daily_rpv,daily_Estimated Revenue,sort_sort_position,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-03-10 00:00:00+00:00,0,0,0,2626227051,0.1064940690994262,7501,84.60102081298828,10.119831204414368,808792,0.0009315482679368,566985.0,186.0,796531.0,8367.0,1151643.0,84.59782409667969,0.1084913238883018,9.855465650558472,613972.0,7857.0,898398.0,84.57357025146484,0.1057740151882171,10.028563777605692,635597.7142857143,8006.571428571428,908016.1428571428,84.58958762032645,0.10565532850367677,10.160005580811273,688008.4666666667,8347.833333333334,999594.2666666667,84.53325169881185,0.11070927108327543,10.052094203060951,-7.65295485787626,-28.818212976017254,-4.530991472572232,-10.3501852515836,-9.973975899323017,-29.770597311840564,0.6807474500498234,-1.8409350326777152,0.03245761227983479,0.0037787216665696732,0.15009079231887396,0.163664364751129,75.57784590775793,0.7010260969123125,0.009274313699549824,1.7848467518447312e-05,0.003841400146485357,0.005187993373171531,1.000666435046357,0.9238225182970825,0.9543494187058906,95224.38489506063,112602.46864039832,684.5830526999179,1348.28089990827,152998.02369485772,176928.97973128918,36,0.4218974278458181
2025-03-11 00:00:00+00:00,0,0,0,2626227051,0.1015893146395683,6828,84.60308074951172,10.138238549232485,758068,0.0008665497374381,528119.0,182.0,566985.0,7501.0,808792.0,84.60102081298828,0.1064940690994262,10.119831204414368,581749.0,7724.0,843883.0,84.5785140991211,0.1046618893742561,10.0861523548762,627936.2857142857,7878.571428571428,895756.8571428572,84.59309714181083,0.10521638925586423,10.167446465719314,674581.2666666667,8258.366666666667,980630.9666666667,84.53822708129883,0.10994528134663896,10.03787253614209,-9.21875241727962,-6.8548550667125285,-11.600207146556185,-8.972137048393547,-10.169063720918658,-6.271575386502337,-2.93571495131405,-4.605659734232404,0.029045970660868115,0.0024348837681209545,0.15632553350427317,0.15785593006869197,77.33474886513399,0.6966634963308089,0.009007095660157585,1.9196846453897758e-05,0.003705160958425956,0.005090693557620481,1.0006490562010395,0.930853429738911,0.9569886762500945,98569.16691249832,106486.653256583,716.8902777480338,1357.3867002527206,156283.43824033008,171019.84969960558,36,0.3929769706367992
2025-03-12 00:00:00+00:00,0,0,0,2626227051,0.1030585169792175,7002,84.60599517822266,10.342054843902588,752588,0.0008696862885942,530667.0,180.0,528119.0,6828.0,758068.0,84.60308074951172,0.1015893146395683,10.138238549232485,584933.0,7401.0,825419.0,84.582763671875,0.1064115315675735,10.313405752182009,620184.0,7821.571428571428,885352.4285714285,84.59641592843192,0.10473738717181337,10.17153919310797,669935.6666666666,8387.433333333332,974321.0666666667,84.54307581583659,0.10987807338436441,10.028420369319868,-9.277301844826669,0.4824670197436598,-5.391163356303197,2.5483304042179356,-8.82351872200664,-0.7228902948020477,-3.1509879981633127,1.4462173948725177,0.027466005293685924,0.0034448257499875012,0.15811164759907886,0.16372299475452684,75.77709553048693,0.7051219191351454,0.00930388299589816,1.948874784969621e-05,0.0036108834402911864,0.0049920868157553215,1.0006309223089012,0.925736650335082,0.9532146309612801,99542.54197166703,109683.87363953711,735.6597435239617,986.3032227091322,159285.6713870023,175920.6110447017,36,0.3948729549153095
2025-03-13 00:00:00+00:00,0,0,0,2626227051,0.0998584479093551,6686,84.61035919189453,10.125298539797464,738602,0.000870367593515,531732.0,181.0,530667.0,7002.0,752588.0,84.60599517822266,0.1030585169792175,10.342054843902588,545395.0,7474.0,770894.0,84.58415985107422,0.1059961542487144,10.438956061999004,618232.1428571428,7709.0,880739.2857142857,84.60015869140625,0.10386057198047634,10.126730975650606,667698.1666666666,8332.233333333334,968531.3666666667,84.54790369669597,0.10930299336711562,10.028376946011603,-2.5051568129520807,0.20069082871179145,-10.543216483810546,-4.512996286775206,-4.188902754464296,-1.8583873248045446,-5.790499082596434,-3.105099087063057,0.03097428746285935,0.005158043070929708,0.16038217260898158,0.16751157334820388,79.51727231942576,0.7199158411216852,0.009052224266622258,1.9042072882061983e-05,0.003353936331618521,0.004891324494122232,1.000618051925897,0.9259155913869409,0.9502079383282777,100765.16343589935,111847.17042004458,783.9740443393424,1034.1151034224474,163498.84888938256,180822.27499274415,36,0.3956654287208877
2025-03-14 00:00:00+00:00,0,0,0,2626227051,0.0913326516747474,7815,84.6130599975586,10.082781672477722,801062,0.0009055395154157,553907.0,181.0,531732.0,6686.0,738602.0,84.61035919189453,0.0998584479093551,10.125298539797464,605115.0,8454.0,845408.0,84.58875274658203,0.1026655212044715,10.368653217951456,610916.7142857143,7617.714285714285,874404.1428571428,84.60363115583148,0.10224159061908718,10.085892183440071,664664.3333333334,8328.933333333332,964778.6666666666,84.55266087849935,0.10846917356053984,10.022387214328932,-8.462523652528853,4.170333927617675,-7.558552164655785,16.8860305115166,-5.245514591771072,8.456516500090716,-11.03863244131713,-8.537881784770828,0.028735795466072744,0.003192050819622594,0.1644031464306,0.17107164671561922,70.86834698055272,0.6914649659265252,0.009755786998026372,1.8202989797001887e-05,0.003106798444475573,0.004776797013500895,1.0006028228656856,0.9191356954899755,0.9425866102134828,102639.43256539325,113705.22201647257,783.8809374999543,1035.6525823191628,165949.98950074092,183153.87652808605,36,0.41216599833468887
2025-03-15 00:00:00+00:00,0,1,0,2626227051,0.0955650061368942,8642,84.6145248413086,9.894439061482748,1023660,0.0011497764700173,704353.0,181.0,553907.0,7815.0,801062.0,84.6130599975586,0.0913326516747474,10.082781672477722,768476.0,9125.0,1110074.0,84.59407806396484,0.1048668101429939,9.937574823697409,601756.2857142857,7548.714285714285,862059.2857142857,84.60655212402344,0.10091276147535864,10.079729931695121,667000.0333333333,8343.966666666667,969674.2666666667,84.55721232096354,0.10767797380685802,10.002307853261053,-8.344177306773403,27.160877186964605,-5.293150684931502,10.58221369161869,-7.7845260766399305,27.78786161370781,-8.870112472588787,4.633999325037674,0.024170459459682547,0.0017312265388369497,0.16053807123722763,0.17058359125962516,81.49404142080296,0.6880725161943261,0.00844224797076376,1.4047537263198262e-05,0.0029092516217906336,0.004660889622367364,1.0005835079197338,0.9021832918163558,0.9371718087523253,99797.89570035796,113779.26105628969,751.7187193139573,1036.8539445355036,157192.9271039757,182683.1894059047,36,0.5241138989488002
2025-03-16 00:00:00+00:00,0,1,0,2626227051,0.1018927618861198,7812,84.61735534667969,10.053823471069336,1064678,0.0012188110992062,747940.0,185.0,704353.0,8642.0,1023660.0,84.6145248413086,0.0955650061368942,9.894439061482748,796531.0,8367.0,1151643.0,84.59782409667969,0.1084913238883018,9.855465650558472,594814.7142857143,7469.428571428572,849635.7142857143,84.60934230259487,0.09997010976076122,10.108066763196673,668883.4,8303.533333333333,972643.7,84.56166865030924,0.10734338263670598,9.991799122584613,-6.100327545318384,6.18823232100949,-6.633201864467553,-9.604258273547794,-7.551385281723588,4.006994509895856,-6.082110316006095,6.621415102680239,0.023087177724190333,0.003345176701530228,0.1530887366889684,0.17142291979376242,95.73019326763087,0.7025028200988279,0.00733742282885264,1.3442000734107819e-05,0.002819878714428171,0.004541689455840528,1.000563773788367,0.8892651757925436,0.9313113422100835,94694.94075326025,114661.94542957912,700.654936940663,1033.024576044842,141748.65733110026,183504.90092941604,36,0.556547284642453
2025-03-17 00:00:00+00:00,0,0,0,2626227051,0.0947883948683738,6965,84.6218032836914,10.129436572392782,793382,0.0009140889288454,561796.0,187.0,747940.0,7812.0,1064678.0,84.61735534667969,0.1018927618861198,10.053823471069336,566985.0,7501.0,808792.0,84.60102081298828,0.1064940690994262,10.119831204414368,594073.4285714285,7392.857142857143,847434.2857142857,84.61231122698102,0.09829787058489659,10.10943895862216,659968.2333333333,8196.6,957042.5,84.56604080200195,0.1067628401021162,10.008213551666426,-0.9151917599231063,-24.88755782549402,-7.145713904812689,-10.842293906810042,-1.9053106361091587,-25.48150708477117,-10.991855537160111,-6.972396160667604,0.024565271793908217,0.005256530405017834,0.15599041588402243,0.1699063242518905,80.64829170255527,0.7081018877389609,0.008778862163671266,1.803042125962364e-05,0.0029661996023996537,0.0044397933331969995,1.0005471513688031,0.9001545810332617,0.9207123985356416,95908.45648743345,112132.77664868065,731.3751461429276,998.2877962481117,143762.36210720186,177918.00211212473,36,0.41803625735084565
2025-03-18 00:00:00+00:00,0,0,0,2626227051,0.0966202095150947,6810,84.62298583984375,10.4509484984658,729429,0.0008219909618158,505834.0,196.0,561796.0,6965.0,793382.0,84.6218032836914,0.0947883948683738,10.129436572392782,528119.0,6828.0,758068.0,84.60308074951172,0.1015893146395683,10.138238549232485,590889.8571428572,7390.285714285715,843343.0,84.61515481131417,0.0975879984242575,10.154111808512635,646803.6333333333,8082.766666666666,936966.3333333334,84.57035013834636,0.10585809697707488,10.03458134388264,-4.2196929101206315,-9.961267079153291,-0.2636203866432374,-2.225412778176594,-3.7778932760649475,-8.060808034465117,-4.89136592967837,1.9325305057276365,0.023527618800267547,0.0013974603547239894,0.16406364950781163,0.16372348747062135,74.2672147995889,0.6934647601551897,0.009336056921157616,2.066078562864531e-05,0.002791268484932479,0.004308318243143893,1.0005297917401845,0.9135537073248617,0.9218756166133575,99982.53255633613,105896.94655800235,768.8730728786039,952.6784268878193,148994.01005381718,167880.01125811285,36,0.37639454926843136
2025-03-19 00:00:00+00:00,0,0,0,2626227051,0.0978183597326278,6936,84.6265869140625,10.422233819961548,728641,0.0008458735711792,521138.0,197.0,505834.0,6810.0,729429.0,84.62298583984375,0.0966202095150947,10.4509484984658,530667.0,7002.0,752588.0,84.60599517822266,0.1030585169792175,10.342054843902588,589528.5714285715,7380.857142857143,839922.0,84.61809648786273,0.09683940453188754,10.165565947949629,636688.2,7991.433333333333,920634.4,84.57466430664063,0.10495075583457941,10.052410596496554,-1.795664701215638,3.0254984836922683,-0.9425878320479808,1.8502202643171817,-3.1819534725507137,-0.1080297054271262,-5.084642589652654,1.2400617050472462,0.02433838854618564,0.004255432708988316,0.1696327866760682,0.16142195480521102,75.12440536254866,0.7152181729848128,0.009519077955978382,1.9998951949406104e-05,0.00270761762346707,0.004166389439871848,1.000513536548778,0.925929790168204,0.9227127881243965,102603.45728425038,102775.45384541115,789.4995667725543,925.6259273979105,153379.51524200692,163307.1752761134,36,0.3877823606492481
2025-03-20 00:00:00+00:00,0,0,0,2626227051,0.0961757451295852,7038,84.63058471679688,10.317334334055582,740189,0.000851345464033,525133.0,204.0,521138.0,6936.0,728641.0,84.6265869140625,0.0978183597326278,10.422233819961548,531732.0,6686.0,738602.0,84.61035919189453,0.0998584479093551,10.125298539797464,588585.8571428572,7431.142857142857,840148.7142857143,84.62098584856305,0.09631330413477757,10.192999632843646,631613.8,7922.266666666666,911682.4666666667,84.57895177205404,0.1041043803095817,10.066972057574352,-1.2410387187530514,0.7665915745925345,5.264732276398454,1.4705882352941124,0.21486538081403328,1.5848682684614257,-3.687923112036362,-1.6792497927101357,0.023904312776257264,0.0047240505379742,0.17176465462285123,0.16535807769124075,74.60335274897002,0.7094570313027736,0.009508369472702954,1.9647050722397677e-05,0.0029403141566709894,0.004025762470997347,1.0004969803435528,0.9318761831088193,0.9251609187659988,103644.33848132004,104442.4438112598,803.3809771867142,916.4082787345986,155003.2230970084,165654.4357258144,36,0.39075506755374123
2025-03-21 00:00:00+00:00,0,0,0,2626227051,0.093516893684864,7897,84.63382720947266,10.282127539316813,799662,0.0009277507844426,572972.0,207.0,525133.0,7038.0,740189.0,84.63058471679688,0.0961757451295852,10.317334334055582,553907.0,7815.0,801062.0,84.6130599975586,0.0913326516747474,10.082781672477722,591309.4285714285,7442.857142857143,839948.7142857143,84.62395259312221,0.09662533870765135,10.221477613820658,628246.8666666667,7894.8,905885.1666666666,84.58316294352214,0.103373742600282,10.084277027905589,3.4419135342214524,9.109882639255208,1.0492642354446469,12.205171923842006,-0.17476799548599153,8.034839750388079,2.3915236994269007,-2.7645758721585256,0.02454374290996597,0.0038313485445362616,0.17294446361415514,0.16658653239711108,72.54646746011649,0.7165168327157815,0.009875410016469438,1.7945221745731147e-05,0.0031839098249206743,0.0038869719881903225,1.0004822431342193,0.9412055355067352,0.9347183944115781,103959.17770967163,104657.46700735019,769.3086235326781,903.9062890091654,155824.5761996535,166454.84694760852,36,0.42635239561482946
2025-03-22 00:00:00+00:00,0,1,0,2626227051,0.0955481603741645,8557,84.6353988647461,10.10030714670817,1025212,0.001167987701286,722398.0,208.0,572972.0,7897.0,799662.0,84.63382720947266,0.093516893684864,10.282127539316813,704353.0,8642.0,1023660.0,84.6145248413086,0.0955650061368942,9.894439061482748,593887.2857142857,7430.714285714285,840170.4285714285,84.62693459647042,0.09662293217011854,10.250887340281434,629373.6,7887.233333333334,907866.6666666666,84.587220509847,0.10268454353014624,10.082979103651914,2.56192562536115,26.07911032301753,-0.9835686183753745,8.357604153475995,0.1516128402008432,28.205666894262826,-0.017627543188314387,2.172085287761494,0.02466955109261537,0.001857006028505026,0.16536230377706643,0.16763982873123642,84.41201215237204,0.7046321105955543,0.008346558227412254,1.3981618394693473e-05,0.0030634743826748767,0.0037447291831426872,1.00046950457036,0.9436164556541388,0.9409686097669789,98857.18773383403,105508.0825119617,689.5845380842156,897.1307782777878,146608.1264611174,167542.53551743328,36,0.537541307232049
2025-03-23 00:00:00+00:00,0,1,0,2626227051,0.098301351070404,8124,84.64070129394531,10.25681467851003,1070953,0.001221931672655,757080.0,209.0,722398.0,8557.0,1025212.0,84.6353988647461,0.0955481603741645,10.10030714670817,747940.0,7812.0,1064678.0,84.61735534667969,0.1018927618861198,10.053823471069336,595193.0,7475.285714285715,841066.8571428572,84.63026973179409,0.09610987348215914,10.279886084201532,631400.9666666667,7853.133333333333,910004.8333333334,84.59114939371744,0.10237189183632527,10.097965469023194,1.2220231569377127,4.800954598434659,3.9938556067588227,-5.060184644150989,0.5893800754782186,4.461613793049635,-3.5246966999773144,2.8814690784815467,0.02759002236594199,0.006265025356233522,0.15656216357766195,0.17010572164384322,93.17907692307692,0.7069211189276103,0.007585759985956446,1.3547843201070995e-05,0.003170013427735946,0.003645726968769279,1.0004624637253072,0.9426545593399736,0.9388306864136301,93155.09121133981,107404.91708145353,668.5414212059846,866.5155641928662,135012.2038657275,169249.37192347183,36,0.5633484213400918
2025-03-24 00:00:00+00:00,0,0,0,2626227051,0.0968463569879531,7285,84.6432113647461,10.37855056921641,784141,0.0008938300484668,554621.0,198.0,757080.0,8124.0,1070953.0,84.64070129394531,0.098301351070404,10.25681467851003,561796.0,6965.0,793382.0,84.6218032836914,0.0947883948683738,10.129436572392782,594168.0,7521.0,839746.7142857143,84.63332802908761,0.09640386807067047,10.315473798033478,622080.7333333333,7753.966666666666,895219.4,84.59496053059895,0.10184811974565182,10.119001511130671,-1.277153984720436,-26.742088022401855,4.594400574300073,-10.327424913835548,-1.1647604810797296,-26.781007196394235,2.17111189870558,-1.4801364036276743,0.025298540357177046,0.0029655600230160672,0.15737395236534246,0.16259417817661298,76.12146582486962,0.7072966375988022,0.009290409135080125,1.871283607432884e-05,0.0033471243722128694,0.003552147649949692,1.0004535435473698,0.9551300468931633,0.9465453884806374,93499.12498926325,101146.70559583805,670.319609679491,742.9989317917303,135684.74492833996,159640.30904345834,36,0.41269729063251315
2025-03-25 00:00:00+00:00,0,0,0,2626227051,0.0878797769546508,6484,84.64783477783203,10.69738515218099,718973,0.0008247775365433,512402.0,192.0,554621.0,7285.0,784141.0,84.6432113647461,0.0968463569879531,10.37855056921641,505834.0,6810.0,729429.0,84.62298583984375,0.0966202095150947,10.4509484984658,595106.2857142857,7474.428571428572,838253.0,84.63687787737165,0.09515523484774992,10.350679034278505,610824.8,7660.4,876428.5333333333,84.59866511027018,0.10090664525826766,10.151002328323594,1.2984496890284136,-7.612225285375063,-4.7870778267254055,-10.995195607412489,-1.4334499999314576,-8.310750234970499,-9.0461742986372,-9.258562027705054,0.02936428884146025,0.005462237327003017,0.15926218406285317,0.15289309170399737,79.01341557440247,0.7126850205987977,0.0090184067852245,2.0876897973237843e-05,0.0034239632742800756,0.00349145704700183,1.0004516946816082,0.9742667385382611,0.9430026595790875,94442.1680007741,93390.89216147586,700.7608620023467,719.1248800475627,137963.42898753806,144960.78814244719,36,0.3812818431229272
2025-03-26 00:00:00+00:00,0,0,0,2626227051,0.0910837352275848,6722,84.65237426757812,9.359349449475609,720287,0.0007444479171425,463035.0,191.0,512402.0,6484.0,718973.0,84.64783477783203,0.0878797769546508,10.69738515218099,521138.0,6936.0,728641.0,84.6265869140625,0.0978183597326278,10.422233819961548,586805.8571428572,7443.857142857143,837059.5714285715,84.64056178501674,0.09419314563274377,10.198838409923372,605845.3333333334,7624.7,870548.8666666667,84.60233688354492,0.10033125653862947,10.126540322496433,-11.149254132302765,-9.634427656410393,-3.085351787773938,3.6705737199259625,-1.1465179697546568,0.18276068781442056,-6.884826655702581,3.6458425179974663,0.03047192904259699,0.0053627948759737976,0.16912124571978676,0.16044927605094872,68.87327086122266,0.6428470278555245,0.009332378159847173,2.0213006007039644e-05,0.003614153180812513,0.003448698491487225,1.0004518185062008,0.9685737016645455,0.9388215485617644,99471.57197153676,97207.44513217905,717.7772964177216,738.6346747605297,139809.80825237333,147663.2161248283,36,0.3445475197802206
