timestamp,isSummer,isWeekend,isHoliday,universe_id,sort_sort_position,visits_visits_gained,session_session_length,ccu_playing,platform_platform_share,daily_Estimated Revenue,ratings_like_ratio,daily_rpv,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-09-11 00:00:00+00:00,0,0,0,8093454345,226.0,303361,17.139387766520183,2576,0.0243672523647546,363020,97.22125244140624,0.0698379464068719,285223.0,2735.0,379603.0,97.16304779052734,0.0255885384976863,31.236252784729004,255858.0,3037.0,345927.0,95.99177551269533,0.0256964657455682,17.754048705101013,335871.4285714286,3477.4285714285716,460922.0,96.95307268415179,0.028957655653357443,48.8643892587765,280234.7272727273,2857.181818181818,374582.2727272727,96.3935775756836,0.023779555816541953,36.84225466334771,41.88338844202644,27.27585082549444,-15.17945340796839,-5.813528336380259,-12.304908260991477,-20.08466740252316,-5.172747855579496,-4.772785804246404,1.2808148637153849,0.05990410161316184,0.4480884774722007,0.4480884774722007,140.86922778424525,1.1966561401889493,0.008491505198409821,4.721321291749013e-05,0.12404332842145317,0.24359137795188301,1.0058042778631067,1.19853606953058,1.217754270801535,125569.95227847378,125569.95227847378,1104.3119865492558,1104.3119865492558,164641.153523711,164641.153523711,6,0.7207740249735433
2025-09-12 00:00:00+00:00,0,0,0,8093454345,203.0,326104,30.69758380543102,2918,0.0229359045624732,401610,97.27384185791016,0.0727933208872751,363020.0,2576.0,303361.0,97.22125244140624,0.0243672523647546,17.139387766520183,388780.0,4336.0,524731.0,96.38243865966795,0.031012563034892,129.6964791615804,337704.28571428574,3274.8571428571427,432546.71428571426,97.08041599818638,0.02780384730015476,34.72168992218373,290349.3333333333,2862.25,370542.4166666667,96.46693293253581,0.02370925154536956,36.33019875852132,3.3000668758681018,10.630268304776603,-32.70295202952029,13.276397515527961,-37.85310949800945,7.497008514608017,-26.043182768647057,-5.874063192909418,0.9248605976756918,0.054092510827929985,0.42964761839041987,0.42964761839041987,137.584789311408,1.2315358550160225,0.00894803820855246,7.643611306819539e-05,0.07689230782645377,0.22123430158708463,1.0063595166447306,1.1630964736074905,1.1727003379651129,124747.89956791281,124747.89956791281,1053.0665285898908,1053.0665285898908,157601.7397282024,157601.7397282024,6,0.7973942376993685
2025-09-13 00:00:00+00:00,0,1,0,8093454345,185.0,334655,109.07233669446862,2567,0.0170004814863204,461372,97.2910385131836,0.0785356016188803,401610.0,2918.0,326104.0,97.27384185791016,0.0229359045624732,30.69758380543102,503653.0,3758.0,662720.0,96.73513793945312,0.0250812843441963,20.018756276085263,331664.14285714284,3104.714285714286,385680.28571428574,97.15983036586216,0.026649446891886773,47.443629981952775,303504.92307692306,2839.5384615384614,367781.8461538461,96.53032566950871,0.023193192310058085,41.92574783051726,-8.39486710096038,14.880605562610484,-31.692389568919644,-12.028786840301574,-49.50280661516175,2.622169614601466,-32.218457184971726,-25.87830386190262,0.5746625120629956,0.01767860191905779,0.4234234847275795,0.4234234847275795,179.6619937694704,1.3786455345190285,0.007670563205201759,0.00023640814849258326,0.050133568899974404,0.20099526709252827,1.0065213153688997,1.0927801087861855,1.1490202183306104,128511.11216120672,128511.11216120672,1011.554382735189,1011.554382735189,151220.10143873407,151220.10143873407,6,0.9160513289903962
2025-09-14 00:00:00+00:00,0,1,0,8093454345,170.0,302167,27.747662952968053,1808,0.0162038300186395,499648,97.311767578125,0.0804083619501095,461372.0,2567.0,334655.0,97.2910385131836,0.0170004814863204,109.07233669446862,433790.0,3534.0,560305.0,97.0019073486328,0.0287414696067571,25.79269786503004,341072.4285714286,2858.1428571428573,348803.4285714286,97.20409611293248,0.024858355522155685,47.72291070880107,317515.14285714284,2765.8571428571427,363095.0714285714,96.5861429486956,0.02269395214638533,40.91302748212089,15.182000507157834,8.29612546925258,-48.8398415393322,-29.56758862485391,-46.07097919882921,-9.707908144208211,-43.62212426733396,-4.6860523822336075,0.31943725434031567,0.021306242854635116,0.42245842740550343,0.42245842740550343,276.20121614151464,1.6535437240210744,0.005983426438272749,5.553431099225267e-05,0.04385212489536698,0.18312312534876954,1.0063979484569037,1.074192636931602,1.0953735762642427,134136.94792886233,134136.94792886233,1010.2160360835892,1010.2160360835892,146342.06897721844,146342.06897721844,6,0.9920480966061951
2025-09-15 00:00:00+00:00,0,0,0,8093454345,164.0,158954,51.21416208018427,1381,0.012341427616775,512672,97.30838012695312,0.0794862982344854,499648.0,1808.0,302167.0,97.311767578125,0.0162038300186395,27.747662952968053,156851.0,3996.0,380606.0,97.06486511230467,0.0363657660782337,86.77478317987351,391904.0,2484.5714285714284,317138.85714285716,97.23888397216797,0.021426307170518726,42.64282198027403,330525.6,2673.5333333333333,349485.6666666667,96.63429209391276,0.022003783844411307,41.59976978865845,226.852873108874,2.6066350710900466,-65.44044044044044,-23.61725663716814,-58.236601630032105,-47.39531451151184,-66.06306164367642,-23.836354722442298,0.25087864117123715,-0.0034810293309650575,0.3829067607730376,0.4197319026686356,370.9638205499276,3.225265012110346,0.00868799345726778,9.989635124179404e-05,0.03513526916504234,0.16684346880231501,1.006256494099089,1.18569938304325,0.9737555741332529,132029.4511210441,138732.13896869236,983.4500048746312,1037.061361090397,137785.82743433278,150547.4186231542,7,1.0
2025-09-16 00:00:00+00:00,0,0,0,8093454345,173.0,125181,42.51040471118429,954,0.0071357497945427,496491,97.3210678100586,0.0752124199533357,512672.0,1381.0,158954.0,97.30838012695312,0.012341427616775,51.21416208018427,219783.0,3407.0,415128.0,97.10285949707033,0.0315467156469821,31.39236777761708,431433.71428571426,2134.1428571428573,275717.85714285716,97.27005658830915,0.017939026334455956,44.231112970783634,340898.4375,2566.0625,335466.625,96.67721557617188,0.021074531716294517,41.65668447131632,125.90054735807593,-3.1562090381374475,-71.99882594658057,-30.91962346125996,-69.84520437070012,-21.247027441901434,-77.3803717813479,-42.180515770772885,0.22471873034268786,0.013038633557482804,0.34141262930074406,0.4115693694508719,519.8858638743455,3.9661532808231215,0.007620903963828665,8.562153007739157e-05,0.02450861249651333,0.15254996804630191,1.0061321688735456,1.2655784445644878,0.8512182655325986,125987.64950546574,140303.35496866246,1013.9001944943124,1090.2275890076041,146576.45217398353,155878.45704859283,7,0.9684379096186255
2025-09-17 00:00:00+00:00,0,0,0,8093454345,183.0,86246,18.22325950198703,481,0.0056818993762135,481257,97.32738494873048,0.0717780570957346,496491.0,954.0,125181.0,97.3210678100586,0.0071357497945427,42.51040471118429,285223.0,2735.0,379603.0,97.16304779052734,0.0255885384976863,31.236252784729004,459438.5714285714,1812.142857142857,233809.7142857143,97.29353332519531,0.015095220745674128,42.37211393039193,349154.82352941175,2443.4117647058824,320806.5882352941,96.7154608333812,0.020169082755113282,40.27824770841459,68.73008137492418,-3.0683335649588805,-82.41316270566728,-49.58071278825996,-77.27994773487038,-31.102962909706743,-77.79513911383702,-20.374178750508875,0.16913545009151765,0.006491028935506904,0.30157970155413705,0.4011070492379428,998.4585062240664,5.579985390796201,0.005577005577005577,3.786588379203469e-05,0.015363965715688958,0.1398733924416938,1.005977043244513,1.3158591560739807,0.7484336758867814,117616.25593737148,140048.460993077,1155.828469345452,1170.488522947979,161840.3588618348,162582.42851283881,7,0.9387230041820112
2025-09-18 00:00:00+00:00,0,0,0,8093454345,204.0,70582,36.64807653427124,677,0.0078219156712293,421336,97.34296417236328,0.0621063940984545,481257.0,481.0,86246.0,97.32738494873048,0.0056818993762135,18.22325950198703,363020.0,2576.0,303361.0,97.22125244140624,0.0243672523647546,17.139387766520183,467769.4285714286,1540.857142857143,200555.57142857142,97.31092071533203,0.012731601218027657,45.15906946864207,353164.8888888889,2345.277777777778,306905.22222222225,96.75032212999132,0.019483129028230836,40.076571532073295,16.064128698143353,-12.450935778596472,-73.71894409937887,40.74844074844075,-76.7333309159714,-18.162001716021614,-67.89988647820174,37.66374856926695,0.12519045774523896,0.016007029923792437,0.2768417607131103,0.38771697343754347,621.4395280235988,5.9693693948967885,0.009591544706232379,8.698043735601487e-05,0.010334287370959467,0.1287969504593527,1.005794281331565,1.3245071729613418,0.6534679927223039,111240.67493621085,136928.02184440632,1266.2225990439715,1209.4617084401666,178318.2422874592,168394.25342107678,7,0.8218432057923974
2025-09-19 00:00:00+00:00,0,0,0,8093454345,226.0,73107,20.69596223831177,766,0.0056682471185922,220485,97.3625259399414,0.0319054332680227,421336.0,677.0,70582.0,97.34296417236328,0.0078219156712293,36.64807653427124,401610.0,2918.0,326104.0,97.27384185791016,0.0229359045624732,30.69758380543102,441894.4285714286,1233.4285714285713,164413.14285714287,97.32358986990792,0.010264793011758944,43.730266387625036,346181.7368421053,2262.157894736842,294600.05263157893,96.78254338314659,0.01875602998035512,39.056539463980585,-45.099723612459854,-47.67003056942678,-73.74914324880055,13.146233382570172,-77.58169173024557,3.5773993369414336,-75.28657697736345,-27.53377360687689,0.09116950696856918,0.020095718005341823,0.3114132285679527,0.3943219860472771,287.46414602346806,3.015880614980577,0.010477649504842151,9.386519887118352e-05,0.010566438947403129,0.1191437838370335,1.0055903313536556,1.2764810547269805,0.5472796227405365,121388.67630156962,136507.07000487478,1228.944065644778,1229.9595414826501,181349.3071461237,172215.5141883673,7,0.4300702983584046
2025-09-20 00:00:00+00:00,0,1,0,8093454345,259.0,94751,16.299383892732507,508,0.0036637121811509,207180,97.3758544921875,0.0296765206420412,220485.0,766.0,73107.0,97.3625259399414,0.0056682471185922,20.69596223831177,461372.0,2567.0,334655.0,97.2910385131836,0.0170004814863204,109.07233669446862,405581.28571428574,939.2857142857143,130141.14285714286,97.33570643833706,0.008359540253877586,30.476987415948454,339231.65,2174.45,284607.6,96.81220893859863,0.01800141409039491,37.91868168541818,-55.094804192712175,-6.034424110483705,-80.2103622906116,-33.68146214099217,-71.68696119884656,29.605920089731484,-78.44936224836371,-35.36428274036081,0.08717758624028349,0.013689612217238079,0.3412150124522007,0.4022422965221684,407.0333988212181,2.186550151975684,0.005361364403917595,7.867219432637408e-05,0.011516026088169885,0.11059911627518537,1.005407350017914,1.1955879874837319,0.46438242084203935,125779.60404516401,136453.31794900447,1229.975296812595,1259.774937084106,155249.43113109135,173476.82410579108,7,0.40411803258223583
2025-09-21 00:00:00+00:00,0,1,0,8093454345,285.0,29340,12.97656273841858,812,0.005209282040596,0,97.37359619140624,0.0,207180.0,508.0,94751.0,97.3758544921875,0.0036637121811509,16.299383892732507,499648.0,1808.0,302167.0,97.311767578125,0.0162038300186395,27.747662952968053,334203.0,797.0,91165.85714285714,97.34453909737724,0.006788890542728514,28.366830242441385,323077.7619047619,2109.5714285714284,272452.0,96.8389416649228,0.01739226494516639,36.73096173556106,-100.0,-100.0,-55.088495575221245,59.84251968503938,-90.29013757293153,-69.0346276028749,-67.85153858931075,42.18589733649827,0.06353662544624772,-0.002319158884966921,0.4674735842965205,0.4711306467913991,0.0,0.0,0.027674585051634233,12.97656273841858,0.01215580531528911,0.10280816214425201,1.0052210136104531,1.0344351713644644,0.39033964605140536,157836.71249082734,152211.8349301081,1186.968712845762,1263.3586415356717,139778.90980600382,178023.6751538963,7,0.0
