timestamp,isSummer,isWeekend,isHoliday,universe_id,ratings_like_ratio,ccu_playing,daily_Estimated Revenue,platform_platform_share,session_session_length,daily_rpv,sort_sort_position,visits_visits_gained,daily_Estimated Revenue_lag_1d,ccu_playing_lag_1d,visits_visits_gained_lag_1d,ratings_like_ratio_lag_1d,platform_platform_share_lag_1d,session_session_length_lag_1d,daily_Estimated Revenue_lag_7d,ccu_playing_lag_7d,visits_visits_gained_lag_7d,ratings_like_ratio_lag_7d,platform_platform_share_lag_7d,session_session_length_lag_7d,daily_Estimated Revenue_ma_7d,ccu_playing_ma_7d,visits_visits_gained_ma_7d,ratings_like_ratio_ma_7d,platform_platform_share_ma_7d,session_session_length_ma_7d,daily_Estimated Revenue_ma_30d,ccu_playing_ma_30d,visits_visits_gained_ma_30d,ratings_like_ratio_ma_30d,platform_platform_share_ma_30d,session_session_length_ma_30d,daily_Estimated Revenue_wow_growth,daily_Estimated Revenue_dod_growth,ccu_playing_wow_growth,ccu_playing_dod_growth,visits_visits_gained_wow_growth,visits_visits_gained_dod_growth,platform_platform_share_wow_growth,platform_platform_share_dod_growth,ratings_like_ratio_wow_growth,ratings_like_ratio_dod_growth,revenue_cv_14d,revenue_cv_30d,revenue_per_ccu,revenue_per_visit,ccu_to_visits_ratio,session_to_revenue_ratio,like_ratio_trend_7d,like_ratio_trend_30d,like_ratio_momentum,revenue_momentum,market_share_momentum,daily_Estimated Revenue_volatility_14d,daily_Estimated Revenue_volatility_30d,ccu_playing_volatility_14d,ccu_playing_volatility_30d,visits_visits_gained_volatility_14d,visits_visits_gained_volatility_30d,days_since_peak_revenue,revenue_vs_peak
2025-05-27 00:00:00+00:00,0,0,0,7094518649,95.0916748046875,8553,1106808.0,0.0958470925688743,50.01197083791097,0.651773228670039,92,259545,1112709.0,8482.0,288978.0,95.1896743774414,0.0954747945070266,46.40279348691305,266213.0,1599.0,51349.0,95.50357055664062,0.0196478068828582,48.61729876200358,703584.5714285715,5467.142857142857,169707.57142857142,95.39586203438895,0.060678535274096855,51.19340459505717,435433.05555555556,3048.0,95071.05555555556,95.68938446044922,0.03442747156239214,50.34096583172127,315.76031223118326,-0.5303273362577299,434.89681050656657,0.8370667295449108,405.45288126351045,-10.185204410024296,387.82590922397776,0.3899438210577255,-0.43128832728702715,-0.1029518940944385,0.731097047844333,0.7932393693701165,129.390694411971,4.264400144868347,0.032953696069290224,4.5185728375818205e-05,-0.08693231855119396,-0.06621094064939188,0.9969325497523543,1.6158271919225096,1.7625033881483423,366718.0180926289,345402.6423917918,2891.2318565538203,2717.839907850697,95252.65977760826,89597.36589712118,8,0.9945671220124114
2025-05-28 00:00:00+00:00,0,0,0,7094518649,95.12531280517578,8861,1130305.0,0.0999661684036254,54.49319267272949,0.5772029134057727,70,255703,1106808.0,8553.0,259545.0,95.0916748046875,0.0958470925688743,50.01197083791097,212844.0,1495.0,44541.0,95.56135559082033,0.0190614778548479,59.47325197855631,834650.4285714285,6519.428571428572,199873.57142857142,95.3335702078683,0.07223634820963651,50.481967551367624,472005.2631578947,3353.9473684210525,103525.36842105263,95.65969647859272,0.037876876659299154,50.559504086511176,431.04856138768304,2.1229517676055742,492.7090301003345,3.6010756459721627,474.0845513122741,-1.480282802596855,424.4408076061166,4.297549069410933,-0.45629614915847494,0.03537428545388188,0.6956802631034543,0.7872835836524843,127.54513653802753,4.4203649532271685,0.03465334918499515,4.821100894158705e-05,-0.09227779933383252,-0.06518569410893069,0.9965907661979944,1.768307461207741,1.9071358195502575,393562.87208959647,371601.9950817813,3135.6815898568266,2958.8437207366483,100196.28557494775,94550.18786291374,9,1.0
2025-05-29 00:00:00+00:00,0,0,0,7094518649,95.0941390991211,9092,1169276.0,0.0986063107848167,58.57209380467733,0.5273526195262397,52,263048,1130305.0,8861.0,255703.0,95.12531280517578,0.0999661684036254,54.49319267272949,207515.0,1463.0,42081.0,95.62125396728516,0.0183354821056127,54.21817199389139,972044.8571428572,7609.285714285715,231440.2857142857,95.25826808384487,0.08370360944952279,51.103956381479904,506868.8,3640.85,111501.5,95.63141860961915,0.04091334836557503,50.96013357241948,463.46577355853793,3.447830452842382,521.4627477785373,2.6069292404920397,525.0992134217344,2.8724731426694294,437.7895722449108,-1.360317836048408,-0.5512528295690489,-0.032771199521342,0.6523255925119952,0.7770549692516099,128.59078411965248,4.445088177487844,0.03456390254287224,5.009257327791219e-05,-0.07683345249720694,-0.06395284322867702,0.9960980341900235,1.9177445073416577,2.04587531437422,412328.996312444,393864.9197986004,3294.289352070464,3152.8149206200183,103263.27133048626,98699.53898868499,10,1.0
2025-05-30 00:00:00+00:00,0,0,0,7094518649,95.09866333007812,9323,1259101.0,0.0915767773985862,51.52371541659037,0.5063063326000874,46,289730,1169276.0,9092.0,263048.0,95.0941390991211,0.0986063107848167,58.57209380467733,323446.0,4138.0,85496.0,95.525146484375,0.0442384406924247,48.99421350161234,1105709.857142857,8350.0,260616.57142857142,95.19734191894531,0.09046622897897443,51.46531379790533,542689.380952381,3911.4285714285716,119988.57142857143,95.60604931059338,0.04332589260524223,50.98697080309429,289.2770354247695,7.682104139655643,125.30207829869502,2.5406951165860114,238.88135117432395,10.143395882120366,107.00724520398302,-7.1288879284518325,-0.4464616595658777,0.004757633856189436,0.6119270167235704,0.7693437054980565,135.0387172887173,4.345758651990985,0.032178123845912246,4.092100196536132e-05,-0.05580847603934377,-0.06215090070451941,0.9957250885838792,2.0374635951092603,2.0880407428242678,429973.0534270289,417514.65927635116,3400.4776910711425,3313.713605178163,106398.74969967383,103764.91245530515,11,1.0
2025-05-31 00:00:00+00:00,0,1,0,7094518649,95.20256805419922,8579,1395280.0,0.0801702812314033,51.47049148877462,0.4976894254316915,39,294229,1259101.0,9323.0,289730.0,95.09866333007812,0.0915767773985862,51.52371541659037,848916.0,6641.0,213851.0,95.41868591308594,0.0684799626469612,46.60136365890503,1183761.857142857,8626.857142857143,272099.14285714284,95.16646793910435,0.09213627449103759,52.160903487886706,581443.5,4123.590909090909,127908.59090909091,95.58770925348455,0.045000637542795006,51.00894901607976,64.3601958262066,10.815573969046177,29.182352055413354,-7.980263863563231,37.58598276369995,1.5528250440064895,17.071152104316823,-12.455664515837183,-0.2264942729179653,0.10925992067885026,0.5878892916265122,0.767332156402579,162.62004662004662,4.742140502328111,0.029157461849573463,3.6888978986150186e-05,-0.023627962384902508,-0.0588286242062303,0.9955931435362351,2.03590178090022,2.047443759067129,455898.06755421805,446160.294681263,3380.865742724735,3383.5026745201267,108579.88795028618,107862.98197632344,12,1.0
2025-06-01 00:00:00+00:00,1,1,0,7094518649,95.16265869140624,9020,1536220.0,0.0895233899354934,55.10597483317057,0.4981615939032023,34,281175,1395280.0,8579.0,294229.0,95.20256805419922,0.0801702812314033,51.47049148877462,1112854.0,7498.0,253461.0,95.36324310302734,0.0833124965429306,52.65206670761109,1244242.7142857143,8844.285714285714,276058.28571428574,95.13781302315849,0.09302354497568942,52.51146179153805,622955.5217391305,4336.478260869565,134572.34782608695,95.56922879426375,0.0469364093859558,51.18708057334457,38.04326533399709,10.101198325784067,20.29874633235529,5.140459260986119,10.934226567400906,-4.436680272848703,7.454936114370736,11.666553441534422,-0.21033723801150428,-0.041920468752754125,0.5659791168014666,0.7692579632811136,170.293759006762,5.46355307707628,0.032079551597575896,3.5871124553804807e-05,0.004074641636440597,-0.056095160985653814,0.9954858297325597,1.9973219128263136,1.9819058635431899,484600.1733358856,479213.495867767,3304.4221560984442,3459.7841218724147,107217.00416783371,110122.27554347721,13,1.0
2025-06-02 00:00:00+00:00,1,0,0,7094518649,95.20439910888672,7883,1404908.0,0.0835823640227317,53.03246935208639,0.4196661992712086,35,259934,1536220.0,9020.0,281175.0,95.16265869140624,0.0895233899354934,55.10597483317057,1112709.0,8482.0,288978.0,95.1896743774414,0.0954747945070266,46.40279348691305,1285985.4285714286,8758.714285714286,271909.14285714284,95.1399165562221,0.09132462633507586,53.45855834370568,655536.875,4484.25,139795.75,95.55402755737305,0.048463324162488136,51.263971772458824,26.26014528506555,-8.547734048508682,-7.062013676019808,-12.605321507760536,-10.050592086594822,-7.554370054236681,-12.45609435003252,-6.636283452897107,0.015468832666587495,0.04386218087479854,0.5108603697600135,0.7552804457291855,178.19736174530695,5.40484351857195,0.030326812472348856,3.774797467457778e-05,0.018617630004884353,-0.05301203852114667,0.9956662109202848,1.9617285886036977,1.8844069801914967,477522.8991803994,495114.18314191734,3061.3925986153995,3460.3095896930586,100965.80797339155,110699.92185467176,13,0.9145226595149132
2025-06-03 00:00:00+00:00,1,0,0,7094518649,95.13085174560548,5562,1463656.0,0.0772012770175933,53.07650089263916,0.4061044605962171,34,233137,1404908.0,7883.0,259934.0,95.20439910888672,0.0835823640227317,53.03246935208639,1106808.0,8553.0,259545.0,95.0916748046875,0.0958470925688743,50.01197083791097,1336963.7142857143,8331.42857142857,268136.5714285714,95.14551326206752,0.08866093839917857,53.896348351524,687861.64,4527.36,143529.4,95.53710052490234,0.04961284227669234,51.33647293726604,32.241183656063214,4.181626127831861,-34.970185899684324,-29.44310541671953,-10.174728852414805,-10.309155400986402,-19.453710124678423,-7.634489739250439,0.04119912810289783,-0.07725206394834094,0.44624341295921716,0.7427755876310708,263.1055186050692,6.278067067573712,0.02385711467028112,3.626293652996512e-05,0.010754721505296263,-0.050801503108097903,0.9959012021436348,1.9436520901001462,1.7870562203373435,455290.6156626113,510926.8338598721,2726.7159291429252,3394.303805397115,90725.72702420977,109965.32738815146,13,0.9527645779901316
2025-06-04 00:00:00+00:00,1,0,0,7094518649,95.1585693359375,7045,1458412.0,0.0773160010576248,53.10799129803976,0.3801683236279866,39,215632,1463656.0,5562.0,233137.0,95.13085174560548,0.0772012770175933,53.07650089263916,1130305.0,8861.0,255703.0,95.12531280517578,0.0999661684036254,54.49319267272949,1383836.142857143,8072.0,262412.14285714284,95.15026419503349,0.08542520020689277,53.69846244085403,717498.1923076923,4624.192307692308,146302.57692307694,95.52254163301907,0.050678348383651275,51.40460825883425,29.02818265866294,-0.35828090753564634,-20.49430086897641,26.66307083782813,-15.670915085079173,-7.508460690495289,-22.657832852558514,0.14860381131436284,0.034960758373348,0.02913627894989279,0.3643976198550664,0.7288042149977763,206.9843883054215,6.763398923170387,0.032671251617331296,3.641491902365088e-05,0.009267807006835707,-0.04839220095903252,0.996102726836815,1.9286963475215253,1.6856350479340159,404205.6131544991,522915.7068071311,2240.6984978443143,3362.1771639130593,75710.0989715752,108667.52764691872,13,0.9493510044134303
2025-06-05 00:00:00+00:00,1,0,0,7094518649,95.1767120361328,6658,1521264.0,0.0739673376083374,55.127960205078125,0.3764312370217636,46,200301,1458412.0,7045.0,215632.0,95.1585693359375,0.0773160010576248,53.10799129803976,1169276.0,9092.0,263048.0,95.0941390991211,0.0986063107848167,58.57209380467733,1434120.142857143,7724.285714285715,253448.2857142857,95.1620603288923,0.08190534689596715,53.206443355196996,747267.2962962963,4699.518518518518,148302.5185185185,95.5097331294307,0.051540903540121134,51.54251018276921,30.10307232851781,4.309618955411776,-26.77078750549934,-5.493257629524484,-23.85382135579818,-7.109798174667947,-24.987217329576005,-4.331138966682446,0.08683283511892181,0.019065755529856787,0.2685816433796436,0.7167247664346976,228.4523201681934,7.59485177382153,0.03323980789008597,3.6238236076606066e-05,0.004083633422855997,-0.04595200162522093,0.9963598181133304,1.919152825187341,1.5891329268647636,323125.87497129006,535584.9784022509,1512.2040551445475,3320.038558283628,54019.2062844725,107062.81857013823,13,0.9902644152530237
2025-06-06 00:00:00+00:00,1,0,0,7094518649,95.1284637451172,6455,1525646.0,0.0646800771355629,51.10522699356079,0.3590686037456551,47,211427,1521264.0,6658.0,200301.0,95.1767120361328,0.0739673376083374,55.127960205078125,1259101.0,9323.0,289730.0,95.09866333007812,0.0915767773985862,51.52371541659037,1472198.0,7314.571428571428,242262.14285714287,95.16631753104073,0.07806296114410669,53.146659294764206,775066.5357142857,4762.214285714285,150556.9642857143,95.49611636570522,0.05201015973995834,51.52689292601177,21.169469327718748,0.2880499374204648,-30.762630054703422,-3.048963652748571,-27.02619680392089,5.554640266399069,-29.370655997159545,-12.55589395680462,0.031336313251473236,-0.05069337864632706,0.1644905758935785,0.7041595996450548,236.3144361833953,7.215912745710123,0.03053048792023762,3.349741256893685e-05,-0.008572714669361423,-0.044015607745122406,0.996546468618666,1.8994472502199466,1.5009175425418375,212020.77401100472,545770.5414868509,1188.4225762666363,3274.823776510084,31782.336293092903,105736.57248908449,13,0.9931168712814571
2025-06-07 00:00:00+00:00,1,1,0,7094518649,95.05191802978516,7010,1734057.0,0.0658432841300964,57.072797775268555,0.3873877090285414,49,245570,1525646.0,6455.0,211427.0,95.1284637451172,0.0646800771355629,51.10522699356079,1395280.0,8579.0,294229.0,95.20256805419922,0.0801702812314033,51.47049148877462,1520594.7142857143,7090.428571428572,235310.85714285713,95.14479609898159,0.07601624727249143,53.94698876426333,808135.1724137932,4839.724137931034,153833.27586206896,95.48079918170798,0.05248716402927345,51.718131024262,24.280216157330425,13.660508401031436,-18.28884485371255,8.597986057319918,-16.537798789378343,16.148836241350438,-17.870708298943715,1.7984007534430413,-0.15824155534155393,-0.08046562755090747,0.14973393731279167,0.6988282355129808,247.33376123234916,7.061326459557521,0.028545715902936423,3.291285399638798e-05,-0.015651157924103827,-0.04267748377006057,0.9964809355848923,1.8816093720359905,1.4482826168717213,202466.97866886095,564747.6765939096,1163.8065268197033,3242.7888449004568,29975.914097821897,105319.61545928949,14,1.0
2025-06-08 00:00:00+00:00,1,1,0,7094518649,95.00440216064452,7525,1861608.0,0.0719935894012451,57.2613574663798,0.3947363145096872,52,244636,1734057.0,7010.0,245570.0,95.05191802978516,0.0658432841300964,57.072797775268555,1536220.0,9020.0,281175.0,95.16265869140624,0.0895233899354934,55.10597483317057,1567078.7142857143,6876.857142857143,230091.0,95.12218802315849,0.07351199005331309,54.25490056900752,843250.9333333333,4929.233333333334,156860.03333333333,95.46491928100586,0.05313737820833917,51.90290523899926,21.181080834776278,7.3556405585283535,-16.57427937915743,7.346647646219684,-12.995109807059658,-0.38033961803152216,-19.581251946423716,9.340823976818392,-0.16630108168258495,-0.04998938488095517,0.16450266689010623,0.6964855682697172,247.3568960935424,7.609674742577779,0.03075986052804768,3.075906780982462e-05,-0.028141566685269473,-0.0416209338636883,0.9964098722292057,1.858377681351768,1.3834327648814335,231234.93624265166,587312.1054966361,1163.185130730125,3223.883797034504,30074.068642416656,104807.29378754046,15,1.0
2025-06-09 00:00:00+00:00,1,0,0,7094518649,95.04400634765624,7118,1693636.0,0.0738524124026298,55.39099486668905,0.341694002129884,51,225134,1861608.0,7525.0,244636.0,95.00440216064452,0.0719935894012451,57.2613574663798,1404908.0,7883.0,259934.0,95.20439910888672,0.0835823640227317,53.03246935208639,1608325.5714285714,6767.571428571428,225119.57142857142,95.09927477155414,0.0721219969647271,54.59183278537932,894698.3,5129.933333333333,163975.23333333334,95.42052688598633,0.05521298532063758,52.2852490345637,20.551381300412565,-9.022952200463251,-9.70442724850945,-5.408637873754152,-13.38801388044657,-7.9718438823394795,-11.6411538891813,2.5819284978622736,-0.16847200626416425,0.04168668620718741,0.15665222865530648,0.6617772705336126,237.90363815142575,7.5227574566371285,0.03161658560419304,3.270535236694111e-05,-0.024773733956475162,-0.03805471553950996,0.9966333018175842,1.7976177795672255,1.3062506319101215,226700.13428578438,592090.9989250633,1164.254192251775,3163.94367547989,29033.570025077803,101814.10133540825,15,0.9097704779953675
2025-06-10 00:00:00+00:00,1,0,0,7094518649,95.0532455444336,7220,1654695.0,0.0767107307910919,63.96691791216532,0.3198002948177174,52,215349,1693636.0,7118.0,225134.0,95.04400634765624,0.0738524124026298,55.39099486668905,1463656.0,5562.0,233137.0,95.13085174560548,0.0772012770175933,53.07650089263916,1635616.857142857,7004.428571428572,222578.42857142858,95.08818817138672,0.07205191893236976,56.147606645311626,942084.1333333333,5328.366666666667,169470.43333333332,95.37268142700195,0.05729030097524321,53.00382668177287,13.052178927288915,-2.2992543852398017,29.809421071556997,1.4329867940432672,-7.6298485439891595,-4.346300425524352,-0.6354120624061821,3.8703114705029185,-0.08157837310173166,0.009720967299675642,0.1413656800430849,0.6307289786651923,229.150394682177,7.683747387973067,0.03352681680984444,3.86578065772597e-05,-0.025194440569191342,-0.03305818687158952,0.997017036206191,1.736168564219024,1.2576634736742869,210110.43698143095,594199.7632340161,1149.0983397888554,3099.3352956259255,30124.19398666379,99908.98541264974,15,0.8888525403844418
